Entitlement Event ID,Event Type,Report Number,Report Date,Security Code,CUSIP,ISIN,Depository,Record Date,Ex Date,Pay Date,Due Bill End Date,Rate,Declared Security Rate,Box Position,Depository Position,Broadridge Position,Position Reconciled Flag,P&S Report Required Flag,P&S Report Number,Daily Trades Quantity,Transfer In/Out Adjustment Quantity,Distribution Booking Date,Book Longs Date,Book Shorts Date,Shares Received Quantity,Excess Shares Quantity,Fractional Shares Flag,Cash In Lieu Required Flag,Cash In Lieu Amount,Taxable Event Flag,Fair Market Value,RAJ Entry Required Flag,RAJ Entry Amount,Tax Reporting Form,Worksheet Created Flag,Takeoff Tab Completed Flag,Booking Tab Completed Flag,Notice Tab Completed Flag,Final Break Amount,Final Status
ENT-060023,Cash In Lieu,R-31349,2026-02-16,S252282,578AL1VVF,BM578AL1VVF6,DTC,2026-02-16,2026-02-18,2026-02-24,,0.4519,0.4389,62864,62870,62901,N,Y,PS-21357,430,293,2026-02-25,2026-02-24,2026-02-25,28408,8,N,N,0,N,,N,,,Y,Y,N,Y,125.96,Pending Reconciliation
ENT-060024,Optional Stock Dividend,R-45671,2026-03-12,S534410,ES28GW5H9,BMES28GW5H92,Euroclear,2026-03-12,2026-03-12,2026-03-15,,1.6938,1.7705,30228,30190,30231,N,Y,PS-63004,625,469,2026-03-16,2026-03-15,2026-03-16,51200,32,Y,Y,127.64,Y,249.14,Y,2484.49,1099-B,Y,Y,N,Y,29.95,Pending Reconciliation
ENT-060025,Spin-Off,R-27837,2025-09-04,S571551,VXFZTXI76,CAVXFZTXI763,DTC,2025-09-04,2025-09-06,2025-09-10,,1.3735,1.3928,67721,67754,67713,N,Y,PS-35200,1659,93,2025-09-11,2025-09-10,2025-09-11,93014,12,N,N,0,N,,N,,,Y,Y,N,Y,489.95,Pending Reconciliation
ENT-060026,Taxable Stock Dividend,R-62811,2025-11-29,S930995,ZCSCYON94,KYZCSCYON945,I&TS,2025-11-29,2025-11-29,2025-12-09,,1.866,1.9296,76213,76259,76243,N,Y,PS-24431,395,-93,2025-12-10,2025-12-09,2025-12-10,142213,21,N,N,0,Y,94.48,Y,518.6,1099-DIV,Y,Y,N,Y,217.96,Pending Reconciliation
ENT-060027,Optional Stock Dividend,R-63513,2026-04-30,S432700,O2JRH82AK,GBO2JRH82AK4,I&TS,2026-04-30,2026-04-30,2026-05-10,,1.3294,1.2748,68121,68168,68130,N,Y,PS-87194,840,-27,2026-05-11,2026-05-10,2026-05-11,90560,47,N,N,0,Y,279.98,Y,219.85,1099-DIV,Y,Y,N,Y,104.92,Pending Reconciliation
ENT-060028,Rights Issue,R-48009,2025-10-12,S737316,581IBCFO8,BM581IBCFO83,CDS,2025-10-12,2025-10-12,2025-10-14,,1.0312,1.0655,32703,32741,32683,N,Y,PS-29687,571,-307,2025-10-15,2025-10-14,2025-10-15,33723,37,Y,Y,103.4,N,,N,,,Y,Y,N,Y,456.8,Pending Reconciliation
ENT-060029,Stock Dividend,R-44279,2025-11-20,S923489,ZNIAUSW0X,GBZNIAUSW0X2,I&TS,2025-11-20,2025-11-22,2025-11-25,,0.2399,0.2442,20472,20441,20458,N,Y,PS-12634,953,323,2025-11-26,2025-11-25,2025-11-26,4911,31,Y,Y,74.69,N,,N,,,Y,Y,N,Y,314.26,Pending Reconciliation
ENT-060030,Due Bill Event,R-65904,2025-10-24,S217087,C7VNRG9OX,GBC7VNRG9OX9,Euroclear,2025-10-24,2025-10-25,2025-10-31,2025-11-02,2.7822,2.7619,51713,51696,51705,N,Y,PS-81326,1531,313,2025-11-01,2025-10-31,2025-11-01,143875,38,N,N,0,N,,N,,,Y,Y,N,Y,218.75,Pending Reconciliation
ENT-060031,Optional Stock Dividend,R-61201,2025-06-14,S951288,EKLS5ZYG2,CAEKLS5ZYG24,CDS,2025-06-14,2025-06-15,2025-06-27,,0.7179,0.7484,45525,45478,45560,N,Y,PS-56045,427,-105,2025-06-28,2025-06-27,2025-06-28,32682,44,N,N,0,Y,76.44,Y,2989.65,,Y,Y,N,Y,104.22,Pending Reconciliation
ENT-060032,Due Bill Event,R-56927,2026-04-23,S936672,P7XF4BOCX,GBP7XF4BOCX7,CDS,2026-04-23,2026-04-24,2026-04-27,2026-04-29,0.6688,0.6904,29258,29222,29213,N,Y,PS-50518,784,-194,2026-04-28,2026-04-27,2026-04-28,19567,12,N,N,0,N,,Y,1496.3,,Y,Y,N,Y,325.02,Pending Reconciliation
ENT-060033,Taxable Stock Dividend,R-95196,2026-04-08,S238619,JJ9P5JZZG,CAJJ9P5JZZG3,CDS,2026-04-08,2026-04-09,2026-04-19,,2.3104,2.1954,73967,73983,73925,N,Y,PS-88554,522,12,2026-04-20,2026-04-19,2026-04-20,170893,21,N,N,0,Y,256.74,Y,2677.6,T3,Y,Y,N,Y,381.07,Pending Reconciliation
ENT-060034,Stock Split,R-59607,2025-10-19,S951288,EKLS5ZYG2,CAEKLS5ZYG24,CDS,2025-10-19,2025-10-20,2025-10-24,,0.7466,0.7689,69452,69421,69448,N,Y,PS-85603,1744,-412,2025-10-25,2025-10-24,2025-10-25,51852,23,N,N,0,N,,N,,,Y,Y,N,Y,140.93,Pending Reconciliation
ENT-060035,Taxable Stock Dividend,R-89149,2025-12-20,S318943,2EPJ4KOM6,GB2EPJ4KOM66,CDS,2025-12-20,2025-12-22,2026-01-02,,1.4411,1.4196,48468,48502,48458,N,Y,PS-69414,996,221,2026-01-03,2026-01-02,2026-01-03,69847,29,N,N,0,Y,155.58,Y,2511.06,T3,Y,Y,N,Y,231.53,Pending Reconciliation
ENT-060036,Spin-Off,R-58719,2026-01-24,S467524,P0AZVPYSL,BMP0AZVPYSL2,CDS,2026-01-24,2026-01-25,2026-02-05,,1.0266,1.0739,50917,50867,50870,N,Y,PS-21227,1652,-471,2026-02-06,2026-02-05,2026-02-06,52271,28,N,N,0,N,,N,,,Y,Y,N,Y,394.46,Pending Reconciliation
ENT-060037,Taxable Stock Dividend,R-45158,2025-12-05,S042663,RZYO1EZ0A,BMRZYO1EZ0A3,CDS,2025-12-05,2025-12-05,2025-12-14,,1.9641,1.9729,69036,69012,69028,N,Y,PS-37501,1805,285,2025-12-15,2025-12-14,2025-12-15,135593,24,Y,Y,74.09,Y,454.56,Y,3007.35,1099-DIV,Y,Y,N,Y,85.39,Pending Reconciliation
ENT-060038,Rights Issue,R-64371,2025-07-29,S068458,PR4M98UVB,USPR4M98UVB4,CDS,2025-07-29,2025-07-30,2025-08-10,,0.7327,0.7131,39645,39602,39614,N,Y,PS-56605,892,359,2025-08-11,2025-08-10,2025-08-11,29047,25,N,N,0,N,,N,,,Y,Y,N,Y,382.47,Pending Reconciliation
ENT-060039,Stock Split,R-43090,2025-12-07,S257090,YSJU4S4RP,BMYSJU4S4RP1,DTC,2025-12-07,2025-12-09,2025-12-16,,0.9772,1.0012,87662,87638,87632,N,Y,PS-29365,761,249,2025-12-17,2025-12-16,2025-12-17,85663,42,Y,Y,185.42,N,,N,,,Y,Y,N,Y,448.04,Pending Reconciliation
ENT-060040,Rights Issue,R-72170,2025-10-04,S936672,P7XF4BOCX,GBP7XF4BOCX7,CDS,2025-10-04,2025-10-06,2025-10-10,,2.9505,2.8975,20085,20067,20085,N,Y,PS-58742,157,-48,2025-10-11,2025-10-10,2025-10-11,59260,49,N,N,0,N,,N,,,Y,Y,N,Y,4.01,Pending Reconciliation
ENT-060041,Taxable Stock Dividend,R-96660,2026-01-17,S571551,VXFZTXI76,CAVXFZTXI763,CDS,2026-01-17,2026-01-18,2026-01-28,,0.3487,0.3621,61495,61464,61529,N,Y,PS-17562,1528,237,2026-01-29,2026-01-28,2026-01-29,21443,28,N,N,0,Y,396.11,Y,151.94,,Y,Y,N,Y,2.72,Pending Reconciliation
ENT-060042,Stock Split,R-44769,2026-01-04,S735362,EAHJJI2UH,CAEAHJJI2UH0,DTC,2026-01-04,2026-01-04,2026-01-16,,2.6069,2.535,1540,1556,1588,N,Y,PS-11677,535,-107,2026-01-17,2026-01-16,2026-01-17,4014,16,N,N,0,N,,N,,,Y,Y,N,Y,21.38,Pending Reconciliation
ENT-060043,Cash In Lieu,R-77833,2025-10-14,S882089,BNWJM9ZT4,USBNWJM9ZT49,CDS,2025-10-14,2025-10-16,2025-10-25,,0.6183,0.6052,75107,75140,75095,N,Y,PS-32382,157,147,2025-10-26,2025-10-25,2025-10-26,46438,24,N,N,0,N,,N,,,Y,Y,N,Y,408.26,Pending Reconciliation
ENT-060044,Stock Dividend,R-47279,2025-07-06,S505299,JDI5ESH71,CAJDI5ESH710,DTC,2025-07-06,2025-07-08,2025-07-17,,2.5507,2.6744,21753,21767,21775,N,Y,PS-13536,1792,-198,2025-07-18,2025-07-17,2025-07-18,55485,38,N,N,0,N,,N,,,Y,Y,N,Y,320.7,Pending Reconciliation
ENT-060045,Stock Split,R-31792,2025-06-15,S883721,MX4MUPO3Z,GBMX4MUPO3Z9,DTC,2025-06-15,2025-06-15,2025-06-23,,2.3399,2.3741,35821,35822,35802,N,Y,PS-64938,1959,368,2025-06-24,2025-06-23,2025-06-24,83817,2,Y,Y,191.55,N,,N,,,Y,Y,N,Y,90.91,Pending Reconciliation
ENT-060046,Spin-Off,R-89742,2025-12-22,S261918,2KJYFZQOM,GB2KJYFZQOM3,Euroclear,2025-12-22,2025-12-24,2025-12-27,,2.109,2.1679,91740,91737,91767,N,Y,PS-20821,752,-317,2025-12-28,2025-12-27,2025-12-28,193479,44,N,N,0,N,,N,,,Y,Y,N,Y,163.74,Pending Reconciliation
ENT-060047,Rights Issue,R-67849,2026-02-07,S233668,TUTZBQQBM,BMTUTZBQQBM4,DTC,2026-02-07,2026-02-08,2026-02-13,,0.8418,0.8067,27335,27306,27315,N,Y,PS-79149,403,96,2026-02-14,2026-02-13,2026-02-14,23010,34,Y,Y,109.88,N,,N,,,Y,Y,N,Y,256.96,Pending Reconciliation
ENT-060048,Stock Dividend,R-93890,2026-03-07,S503775,IPUFV2XFR,CAIPUFV2XFR3,DTC,2026-03-07,2026-03-07,2026-03-18,,2.7178,2.6629,79339,79355,79322,N,Y,PS-33701,376,167,2026-03-19,2026-03-18,2026-03-19,215627,12,Y,Y,16.68,N,,N,,,Y,Y,N,Y,330.76,Pending Reconciliation
ENT-060049,Spin-Off,R-43748,2026-04-29,S997319,XVSDIEX0Q,USXVSDIEX0Q9,Euroclear,2026-04-29,2026-04-30,2026-05-04,,1.1252,1.1488,8838,8830,8829,Y,N,,1228,140,2026-05-05,2026-05-04,2026-05-05,9944,4,N,N,0,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060050,Optional Stock Dividend,R-33447,2026-01-20,S205100,9F29Z3D8B,GB9F29Z3D8B5,Euroclear,2026-01-20,2026-01-22,2026-01-25,,2.092,2.1839,15559,15564,15550,Y,N,,1259,67,2026-01-26,2026-01-25,2026-01-26,32549,45,Y,Y,47.31,Y,204.31,Y,3169.29,T3,Y,Y,Y,Y,0,Closed
ENT-060051,Stock Split,R-33700,2025-10-26,S063931,84TO591S1,KY84TO591S15,DTC,2025-10-26,2025-10-28,2025-11-03,,2.0703,2.1392,82162,82180,82187,N,Y,PS-69505,943,-147,2025-11-04,2025-11-03,2025-11-04,170099,1,Y,Y,61.18,N,,N,,,Y,Y,N,Y,254.38,Pending Reconciliation
ENT-060052,Rights Issue,R-87417,2025-11-06,S217087,C7VNRG9OX,GBC7VNRG9OX9,Euroclear,2025-11-06,2025-11-07,2025-11-19,,1.0049,0.9739,89435,89458,89406,N,Y,PS-95176,578,12,2025-11-20,2025-11-19,2025-11-20,89873,32,Y,Y,141.36,N,,N,,,Y,Y,N,Y,210.8,Pending Reconciliation
ENT-060053,Stock Dividend,R-85340,2025-10-07,S737316,581IBCFO8,BM581IBCFO83,CDS,2025-10-07,2025-10-09,2025-10-21,,1.359,1.3178,23194,23161,23207,N,Y,PS-53435,1785,-168,2025-10-22,2025-10-21,2025-10-22,31520,42,Y,Y,54.72,N,,N,,,Y,Y,N,Y,108.24,Pending Reconciliation
ENT-060054,Stock Dividend,R-58307,2025-10-15,S650358,8V5SCD7TS,CA8V5SCD7TS3,Euroclear,2025-10-15,2025-10-16,2025-10-18,,1.3818,1.4427,75257,75235,75224,N,Y,PS-10821,273,171,2025-10-19,2025-10-18,2025-10-19,103990,34,Y,Y,188.74,N,,N,,,Y,Y,N,Y,235.67,Pending Reconciliation
ENT-060055,Taxable Stock Dividend,R-60923,2025-11-21,S689913,DXGC9J90G,BMDXGC9J90G0,CDS,2025-11-21,2025-11-23,2025-12-05,,2.8945,2.8353,31076,31074,31120,N,Y,PS-41087,859,282,2025-12-06,2025-12-05,2025-12-06,89949,16,Y,Y,161.21,Y,430.09,Y,531.8,1099-DIV,Y,Y,N,Y,164.97,Pending Reconciliation
ENT-060056,Taxable Stock Dividend,R-81250,2025-07-03,S898920,2V9BK9CQJ,US2V9BK9CQJ0,I&TS,2025-07-03,2025-07-04,2025-07-11,,1.4,1.3561,73383,73376,73381,Y,N,,518,15,2025-07-12,2025-07-11,2025-07-12,102736,4,Y,Y,244.62,Y,166.92,Y,1278.36,T5,Y,Y,Y,Y,0,Closed
ENT-060057,Optional Stock Dividend,R-59181,2026-01-28,S930995,ZCSCYON94,KYZCSCYON945,I&TS,2026-01-28,2026-01-30,2026-02-07,,2.3276,2.288,67315,67319,67295,N,Y,PS-89083,1067,471,2026-02-08,2026-02-07,2026-02-08,156682,27,N,N,0,Y,366.61,Y,4607.74,1099-DIV,Y,Y,N,Y,55.85,Pending Reconciliation
ENT-060058,Stock Dividend,R-38003,2025-06-12,S898920,2V9BK9CQJ,US2V9BK9CQJ0,I&TS,2025-06-12,2025-06-12,2025-06-17,,2.1682,2.1633,64321,64295,64300,N,Y,PS-74011,1340,-257,2025-06-18,2025-06-17,2025-06-18,139460,2,N,N,0,N,,N,,,Y,Y,N,Y,71.6,Pending Reconciliation
ENT-060059,Spin-Off,R-57898,2025-09-30,S238619,JJ9P5JZZG,CAJJ9P5JZZG3,DTC,2025-09-30,2025-10-01,2025-10-10,,2.2206,2.2006,58745,58771,58761,N,Y,PS-70241,861,302,2025-10-11,2025-10-10,2025-10-11,130449,8,Y,Y,102.97,N,,N,,,Y,Y,N,Y,407.91,Pending Reconciliation
ENT-060060,Optional Stock Dividend,R-56663,2025-10-29,S699641,XZLLXH802,KYXZLLXH8020,DTC,2025-10-29,2025-10-31,2025-11-06,,1.4497,1.5105,23587,23600,23622,N,Y,PS-39620,1928,-159,2025-11-07,2025-11-06,2025-11-07,34194,42,N,N,0,Y,41.08,Y,560.11,T5,Y,Y,N,Y,277.54,Pending Reconciliation
ENT-060061,Due Bill Event,R-15174,2025-10-23,S883721,MX4MUPO3Z,GBMX4MUPO3Z9,DTC,2025-10-23,2025-10-23,2025-10-25,2025-10-27,0.0472,0.0486,24324,24290,24319,N,Y,PS-47892,1848,241,2025-10-26,2025-10-25,2025-10-26,1148,49,Y,Y,185.27,N,,N,,,Y,Y,N,Y,258.05,Pending Reconciliation
ENT-060062,Spin-Off,R-36498,2026-01-27,S873587,H9GTF85MN,GBH9GTF85MN0,Euroclear,2026-01-27,2026-01-29,2026-02-07,,2.7121,2.7759,57274,57266,57272,Y,N,,855,-165,2026-02-08,2026-02-07,2026-02-08,155332,42,N,N,0,N,,N,,,Y,Y,Y,Y,0,Closed
ENT-060063,Rights Issue,R-30472,2025-12-19,S843399,BR0KI3125,KYBR0KI31252,Euroclear,2025-12-19,2025-12-20,2025-12-28,,0.8781,0.8399,20308,20326,20312,N,Y,PS-12825,947,214,2025-12-29,2025-12-28,2025-12-29,17832,40,Y,Y,44.05,N,,N,,,Y,Y,N,Y,260.2,Pending Reconciliation
ENT-060064,Spin-Off,R-52410,2025-11-23,S699641,XZLLXH802,KYXZLLXH8020,DTC,2025-11-23,2025-11-24,2025-12-06,,0.2049,0.1993,98284,98247,98331,N,Y,PS-86563,725,215,2025-12-07,2025-12-06,2025-12-07,20138,1,Y,Y,211.28,N,,N,,,Y,Y,N,Y,256.45,Pending Reconciliation
ENT-060065,Cash In Lieu,R-54426,2025-09-20,S042663,RZYO1EZ0A,BMRZYO1EZ0A3,CDS,2025-09-20,2025-09-21,2025-10-02,,2.9688,2.9801,92052,92084,92080,N,Y,PS-11189,1690,122,2025-10-03,2025-10-02,2025-10-03,273283,3,Y,Y,209.23,N,,N,,,Y,Y,N,Y,165.63,Pending Reconciliation
ENT-060066,Cash In Lieu,R-38738,2026-03-10,S378173,WBQC56WOF,BMWBQC56WOF9,CDS,2026-03-10,2026-03-12,2026-03-16,,0.7265,0.6975,43711,43680,43722,N,Y,PS-87792,1016,-342,2026-03-17,2026-03-16,2026-03-17,31756,13,N,N,0,N,,Y,2813.82,,Y,Y,N,Y,226.0,Pending Reconciliation
ENT-060067,Stock Dividend,R-75641,2025-09-23,S864645,MQ2KI9ZJP,CAMQ2KI9ZJP5,Euroclear,2025-09-23,2025-09-25,2025-10-06,,2.2854,2.3383,81699,81686,81687,N,Y,PS-80753,885,-7,2025-10-07,2025-10-06,2025-10-07,186714,5,N,N,0,N,,N,,,Y,Y,N,Y,244.21,Pending Reconciliation
ENT-060068,Optional Stock Dividend,R-85086,2026-03-04,S246806,S98OAS50E,CAS98OAS50E2,I&TS,2026-03-04,2026-03-06,2026-03-13,,0.8005,0.7608,52119,52086,52122,N,Y,PS-77762,977,-453,2026-03-14,2026-03-13,2026-03-14,41721,29,Y,Y,95.27,Y,91.03,Y,3693.58,1099-DIV,Y,Y,N,Y,272.13,Pending Reconciliation
ENT-060069,Rights Issue,R-46396,2026-03-17,S923489,ZNIAUSW0X,GBZNIAUSW0X2,I&TS,2026-03-17,2026-03-18,2026-03-24,,2.3861,2.449,67943,67934,67982,N,Y,PS-50072,1775,127,2026-03-25,2026-03-24,2026-03-25,162118,38,Y,Y,152.81,N,,N,,,Y,Y,N,Y,100.96,Pending Reconciliation
ENT-060070,Stock Split,R-68240,2026-03-26,S673871,B463O9A4D,KYB463O9A4D0,DTC,2026-03-26,2026-03-28,2026-04-03,,1.6923,1.7361,13355,13338,13384,N,Y,PS-94286,1713,-383,2026-04-04,2026-04-03,2026-04-04,22600,29,N,N,0,N,,N,,,Y,Y,N,Y,193.06,Pending Reconciliation
ENT-060071,Rights Issue,R-13064,2025-10-14,S559928,ZN4HP21M8,USZN4HP21M83,DTC,2025-10-14,2025-10-14,2025-10-21,,0.5057,0.5003,58450,58487,58468,N,Y,PS-67823,706,200,2025-10-22,2025-10-21,2025-10-22,29558,24,N,N,0,N,,N,,,Y,Y,N,Y,50.34,Pending Reconciliation
