Voluntary Event ID,Bank Event ID,Depository Event ID,Depository,Security Name,Security Code,CUSIP,ISIN,SEDOL,Jurisdiction,Event Type,Offeror,New/Update Indicator,Event Status,Input Date,Release Date,Reorg Expiry Date,Issuer Expiry Date,Expiry Time,Special Handling Code,Publishing Officer,Processing Officer,Reviewer,Announcement Hyperlink,DSNet Published Flag,REOR Created Flag,TradeLink Available Flag,ServiceLink Instructions Flag,Number of Holders,Total Holdings,Tendered Shares,Number of Instructions,Over-Election Flag,Oversubscription Flag,Documentation Required Flag,Dutch Auction Flag,Concurrent Event Flag,Physical Certificate Required Flag,Final Status
VES-030011,BNK-0600011,DEP-09000011,I&TS,Doverpoint Aerospace NV,S079844,WJHIH191Z,CAWJHIH191Z8,XYG814T,Cayman Islands,Consent Exchange Offer,Beacon Acquisition Corp,New,Released,2026-04-28,2026-04-30,2026-05-08,2026-05-10,12:00 ET,BR-MISMATCH,P. Officer C,Pr. Officer B,Rev C,https://internal.example/ann/30011,Y,Y,Y,Y,1835,6723440,3145555,1578,N,N,N,N,N,Y,Released
VES-030012,BNK-0600012,DEP-09000012,Euroclear,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,142DW4T,United Kingdom,Mini-Tender,Beacon Acquisition Corp,Update,Closed,2025-06-03,2025-06-05,2025-06-13,2025-06-15,18:00 ET,TIME-SENS,P. Officer C,Pr. Officer D,Rev A,https://internal.example/ann/30012,Y,Y,N,N,2385,7992135,601218,1622,N,N,N,N,N,N,Completed
VES-030013,BNK-0600013,DEP-09000013,I&TS,Oakhill Capital Ltd,S175562,FMID9M4HJ,BMFMID9M4HJ7,95455HF,United Kingdom,Monthly Redemption Privilege,Issuer Itself,Update,Released,2025-07-28,2025-07-30,2025-08-31,2025-09-02,18:00 ET,EXP-EXTN,P. Officer D,Pr. Officer B,Rev B,https://internal.example/ann/30013,Y,Y,Y,N,2519,7813938,703092,127,Y,N,N,N,N,N,Released
VES-030014,BNK-0600014,DEP-09000014,CDS,Riverstone Mining SA,S064793,WWNQC46JT,USWWNQC46JT9,XBPMX72,Cayman Islands,Tender Offer,Beacon Acquisition Corp,Update,Released,2026-01-28,2026-01-28,2026-02-11,2026-02-13,12:00 ET,DUAL-DEPO,P. Officer A,Pr. Officer D,Rev B,https://internal.example/ann/30014,Y,Y,Y,N,1198,4347542,2738478,1044,N,N,N,N,N,N,Released
VES-030015,BNK-0600015,DEP-09000015,Euroclear,Doverpoint Media SE,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,9K97ZQX,Canada,Tender Offer,Ironclad Investments,New,Released,2025-10-17,2025-10-17,2025-10-28,2025-10-30,18:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer B,Rev C,https://internal.example/ann/30015,Y,Y,Y,Y,1722,244524,148995,1438,N,N,N,N,N,N,Released
VES-030016,BNK-0600016,DEP-09000016,I&TS,Brightcap Bank SA,S699326,O6QB2IAG0,CAO6QB2IAG06,F140X0B,Canada,Rights Offering,Blackstar Holdings,New,Pending,2025-08-14,2025-08-15,2025-08-25,2025-08-27,12:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer C,Rev B,https://internal.example/ann/30016,N,N,Y,Y,479,425831,302597,371,N,N,N,N,N,Y,Pending
VES-030017,BNK-0600017,DEP-09000017,Euroclear,Northstar Properties plc,S323064,CADBAYROA,GBCADBAYROA3,N07PG5G,United States,Late Tender Offer,Stonecrest Partners,New,Pending,2025-09-20,2025-09-22,2025-10-01,2025-10-03,23:59 ET,DUAL-DEPO,P. Officer A,Pr. Officer C,Rev B,https://internal.example/ann/30017,N,N,N,N,3205,7435600,3286121,1899,Y,N,N,N,N,N,Pending
VES-030018,BNK-0600018,DEP-09000018,CDS,Meadowfield Capital SE,S469648,UT9KRWR57,GBUT9KRWR578,M6ZSKH6,Canada,Mini-Tender,Greylock Acquisition,New,On Hold,2025-07-06,2025-07-07,2025-08-14,2025-08-16,12:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer C,Rev A,https://internal.example/ann/30018,N,N,Y,N,1152,2549376,415328,246,N,N,N,N,N,N,On Hold
VES-030019,BNK-0600019,DEP-09000019,DTC,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,2GSKC6H,Bermuda,Warrant Exercise,Blackstar Holdings,New,Closed,2026-02-16,2026-02-17,2026-03-22,2026-03-24,23:59 ET,,P. Officer A,Pr. Officer A,Rev B,https://internal.example/ann/30019,Y,Y,Y,Y,2266,2372502,1823717,1762,N,N,Y,N,N,N,Completed
VES-030020,BNK-0600020,DEP-09000020,I&TS,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,9TP23Z2,United Kingdom,Odd Lot Offer,Northbridge Strategic,New,Closed,2025-07-22,2025-07-23,2025-08-11,2025-08-13,23:59 ET,TIME-SENS,P. Officer C,Pr. Officer C,Rev A,https://internal.example/ann/30020,Y,Y,Y,N,2352,1246560,921748,307,Y,N,N,N,N,N,Completed
VES-030021,BNK-0600021,DEP-09000021,CDS,Juniper Trust SE,S318943,2EPJ4KOM6,GB2EPJ4KOM66,17TNKQL,Canada,Consent Solicitation,Northbridge Strategic,New,Released,2026-03-16,2026-03-17,2026-04-19,2026-04-21,18:00 ET,DUAL-DEPO,P. Officer A,Pr. Officer D,Rev C,https://internal.example/ann/30021,Y,Y,Y,Y,1968,3192096,2360383,1238,N,N,N,N,N,N,Released
VES-030022,BNK-0600022,DEP-09000022,Euroclear,Glenmoor Capital AG,S302522,PBSRFJ2Q6,GBPBSRFJ2Q67,6YXR6Z3,Cayman Islands,Consent Exchange Offer,Beacon Acquisition Corp,New,Released,2025-09-01,2025-09-03,2025-09-15,2025-09-17,18:00 ET,BR-MISMATCH,P. Officer B,Pr. Officer A,Rev B,https://internal.example/ann/30022,Y,Y,Y,Y,905,3497825,2153907,202,N,N,N,N,N,N,Released
VES-030023,BNK-0600023,DEP-09000023,I&TS,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,United States,Convertible Debenture Conversion,Kingfisher Capital,New,Closed,2025-12-11,2025-12-12,2026-01-01,2026-01-03,12:00 ET,EXP-EXTN,P. Officer D,Pr. Officer A,Rev B,https://internal.example/ann/30023,Y,Y,Y,N,2686,13088878,7195699,1992,N,N,N,N,N,N,Completed
VES-030024,BNK-0600024,DEP-09000024,I&TS,Pinewright Industries plc,S073457,P7AMV17FX,KYP7AMV17FX7,JNRVG0M,Bermuda,Dutch Auction,Blackstar Holdings,New,Released,2025-12-17,2025-12-19,2026-01-11,2026-01-13,17:00 ET,,P. Officer D,Pr. Officer B,Rev C,https://internal.example/ann/30024,Y,Y,Y,Y,3119,10071251,1102235,1820,N,N,N,Y,N,N,Released
VES-030025,BNK-0600025,DEP-09000025,DTC,Meadowfield Media Inc,S640378,74DN24QPH,CA74DN24QPH4,H085KZ6,Cayman Islands,Odd Lot Offer,Issuer Itself,New,Released,2025-08-29,2025-08-29,2025-09-18,2025-09-20,23:59 ET,,P. Officer B,Pr. Officer D,Rev B,https://internal.example/ann/30025,Y,Y,Y,Y,2623,11040207,6318685,856,N,N,N,N,N,N,Released
VES-030026,BNK-0600026,DEP-09000026,Euroclear,Westmark Pharmaceuticals Corp,S617759,TVY0KEAUQ,KYTVY0KEAUQ9,JWPH8YN,Canada,Consent Exchange Offer,Northbridge Strategic,New,Released,2026-04-16,2026-04-17,2026-04-25,2026-04-27,12:00 ET,EXP-EXTN,P. Officer D,Pr. Officer D,Rev C,https://internal.example/ann/30026,Y,Y,N,N,3385,6841085,1239618,342,N,N,N,N,N,N,Released
VES-030027,BNK-0600027,DEP-09000027,CDS,Evergreen Properties SE,S027873,0BV6UOYI6,GB0BV6UOYI68,8SRBYD2,United Kingdom,Tender Offer,Blackstar Holdings,New,Released,2026-03-14,2026-03-15,2026-04-16,2026-04-18,18:00 ET,TIME-SENS,P. Officer A,Pr. Officer A,Rev C,https://internal.example/ann/30027,Y,Y,Y,N,3006,3396780,593970,2278,N,N,N,N,N,N,Released
VES-030028,BNK-0600028,DEP-09000028,I&TS,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,V7VJ9MQ,Canada,Dutch Auction,Stonecrest Partners,New,Released,2026-03-30,2026-03-31,2026-05-03,2026-05-05,20:00 ET,DOC-HEAVY,P. Officer C,Pr. Officer B,Rev C,https://internal.example/ann/30028,Y,Y,Y,N,869,2405392,1873127,253,N,N,N,Y,N,N,Released
VES-030029,BNK-0600029,DEP-09000029,DTC,Juniper Bio Inc,S758381,D8W72I6BN,GBD8W72I6BN5,5STQBRH,Cayman Islands,Warrant Redemption,Capstone Holdings,New,Released,2025-12-15,2025-12-15,2025-12-29,2025-12-31,20:00 ET,TIME-SENS,P. Officer B,Pr. Officer D,Rev C,https://internal.example/ann/30029,Y,Y,N,N,2204,4619584,3015006,621,N,N,N,N,N,N,Released
VES-030030,BNK-0600030,DEP-09000030,Euroclear,Umbra Trust SE,S281943,9JWT9UK7L,US9JWT9UK7L3,8J3M7PK,United States,Monthly Redemption Privilege,Beacon Acquisition Corp,New,Released,2026-05-12,2026-05-12,2026-06-19,2026-06-21,12:00 ET,,P. Officer A,Pr. Officer A,Rev C,https://internal.example/ann/30030,Y,Y,N,N,731,1875746,1362393,265,N,N,Y,N,Y,N,Released
VES-030031,BNK-0600031,DEP-09000031,Euroclear,Quartz Peak Aerospace AG,S833480,14UX5LUIH,GB14UX5LUIH2,MTZKKYN,United Kingdom,Late Tender Offer,Ironclad Investments,Update,On Hold,2026-04-17,2026-04-17,2026-04-26,2026-04-28,23:59 ET,,P. Officer A,Pr. Officer C,Rev C,https://internal.example/ann/30031,N,N,Y,Y,0,0,0,0,N,N,N,N,N,N,On Hold
VES-030032,BNK-0600032,DEP-09000032,CDS,Quartz Peak Logistics NV,S696737,EJ6XXBL7E,BMEJ6XXBL7E0,LP95M15,United Kingdom,Odd Lot Offer,Ironclad Investments,New,Released,2026-03-30,2026-03-31,2026-04-10,2026-04-12,23:59 ET,BR-MISMATCH,P. Officer B,Pr. Officer A,Rev C,https://internal.example/ann/30032,Y,Y,Y,N,2218,2399876,923612,471,N,N,N,N,Y,N,Released
VES-030033,BNK-0600033,DEP-09000033,I&TS,Larkspur Energy SA,S945860,RZIDHS7DG,GBRZIDHS7DG4,75RVDNK,Canada,Dutch Auction,Northbridge Strategic,New,Released,2025-11-05,2025-11-06,2025-12-05,2025-12-07,23:59 ET,TIME-SENS,P. Officer B,Pr. Officer C,Rev C,https://internal.example/ann/30033,Y,Y,N,Y,2269,646665,141442,921,N,N,N,Y,N,N,Released
VES-030034,BNK-0600034,DEP-09000034,CDS,Meadowfield Pharmaceuticals Ltd,S260312,K0PMUJVWY,GBK0PMUJVWY3,L99Z9JZ,Canada,Rights Offering,Stonecrest Partners,Update,Released,2026-05-16,2026-05-16,2026-05-31,2026-06-02,12:00 ET,BR-MISMATCH,P. Officer C,Pr. Officer A,Rev C,https://internal.example/ann/30034,Y,Y,Y,Y,686,3032120,1934481,641,N,N,N,N,N,N,Released
VES-030035,BNK-0600035,DEP-09000035,DTC,Juniper Pharmaceuticals SE,S202269,EO530JMR8,KYEO530JMR86,NKNXQMN,Bermuda,Consent Exchange Offer,Northbridge Strategic,New,Released,2025-10-04,2025-10-06,2025-10-23,2025-10-25,18:00 ET,,P. Officer B,Pr. Officer D,Rev B,https://internal.example/ann/30035,Y,Y,N,N,2115,4295565,1514980,744,N,N,N,N,N,N,Released
VES-030036,BNK-0600036,DEP-09000036,DTC,Westmark Industries Corp,S639716,YAS8DLQQ7,KYYAS8DLQQ77,SW6BRC4,United States,Mini-Tender,Ridgepoint Capital,New,Closed,2026-02-24,2026-02-26,2026-03-09,2026-03-11,17:00 ET,BR-MISMATCH,P. Officer B,Pr. Officer D,Rev A,https://internal.example/ann/30036,Y,Y,Y,Y,2067,6655740,5411552,469,N,N,Y,N,N,N,Completed
VES-030037,BNK-0600037,DEP-09000037,CDS,Doverpoint Properties Ltd,S927373,Z5NPKC098,BMZ5NPKC0981,LL4FZT1,Bermuda,Late Tender Offer,Blackstar Holdings,New,Closed,2025-12-03,2025-12-05,2026-01-12,2026-01-14,12:00 ET,DOC-HEAVY,P. Officer D,Pr. Officer B,Rev B,https://internal.example/ann/30037,Y,Y,N,N,2187,10690056,4415354,1397,N,N,Y,N,N,N,Completed
VES-030038,BNK-0600038,DEP-09000038,DTC,Harborlight Industries SE,S335197,PYSOTNDMF,CAPYSOTNDMF4,ZK4VM3S,United States,Warrant Redemption,Whitewater Group,New,Pending,2025-12-21,2025-12-21,2026-01-25,2026-01-27,23:59 ET,DUAL-DEPO,P. Officer A,Pr. Officer D,Rev C,https://internal.example/ann/30038,N,N,Y,Y,1805,7389670,51223,583,N,N,N,N,N,N,Pending
VES-030039,BNK-0600039,DEP-09000039,Euroclear,Kestrel Industries NV,S904578,LW843F2IV,KYLW843F2IV3,DQ7SHD8,United Kingdom,Odd Lot Offer,Whitewater Group,New,Released,2026-03-08,2026-03-10,2026-03-19,2026-03-21,20:00 ET,TIME-SENS,P. Officer A,Pr. Officer D,Rev C,https://internal.example/ann/30039,Y,Y,N,Y,1698,191874,156526,1138,N,N,Y,N,N,N,Released
VES-030040,BNK-0600040,DEP-09000040,I&TS,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,1D7XJRG,United Kingdom,Monthly Redemption Privilege,Capstone Holdings,New,Released,2025-06-23,2025-06-24,2025-07-31,2025-08-02,18:00 ET,EXP-EXTN,P. Officer C,Pr. Officer D,Rev C,https://internal.example/ann/30040,Y,Y,N,N,2481,8269173,1769049,1468,N,N,Y,N,N,N,Released
VES-030041,BNK-0600041,DEP-09000041,Euroclear,Doverpoint Media SE,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,9K97ZQX,Canada,Warrant Redemption,Stonecrest Partners,Update,Closed,2025-10-15,2025-10-17,2025-10-27,2025-10-29,23:59 ET,BR-MISMATCH,P. Officer D,Pr. Officer D,Rev B,https://internal.example/ann/30041,Y,Y,Y,N,1032,1679064,259183,726,N,N,N,N,N,N,Completed
VES-030042,BNK-0600042,DEP-09000042,I&TS,Cedarwood Resources Ltd,S649062,WYKE9O860,BMWYKE9O8602,YQ1CRVL,United Kingdom,Exchange Offer,Capstone Holdings,New,Closed,2025-08-11,2025-08-11,2025-08-31,2025-09-02,23:59 ET,DOC-HEAVY,P. Officer A,Pr. Officer C,Rev B,https://internal.example/ann/30042,Y,Y,N,N,2750,6303000,3744690,1400,N,N,N,N,N,N,Completed
VES-030043,BNK-0600043,DEP-09000043,DTC,Fairhaven Energy AG,S137496,1584IYRSN,CA1584IYRSN6,C4KFZ58,Cayman Islands,Rights Offering,Ridgepoint Capital,New,Released,2025-09-10,2025-09-10,2025-09-24,2025-09-26,17:00 ET,DUAL-DEPO,P. Officer D,Pr. Officer C,Rev B,https://internal.example/ann/30043,Y,Y,Y,Y,3004,7837436,3692070,996,Y,Y,N,N,N,N,Released
VES-030044,BNK-0600044,DEP-09000044,Euroclear,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,J6PJBR2,United Kingdom,Dutch Auction,Greylock Acquisition,New,Released,2025-07-31,2025-08-02,2025-09-01,2025-09-03,17:00 ET,EXP-EXTN,P. Officer B,Pr. Officer A,Rev C,https://internal.example/ann/30044,Y,Y,Y,Y,2256,8123856,2711128,601,N,N,N,Y,N,N,Released
VES-030045,BNK-0600045,DEP-09000045,DTC,Oakhill Logistics Corp,S600207,MM1XVFLZZ,KYMM1XVFLZZ2,RKCDMB8,Cayman Islands,Mini-Tender,Ridgepoint Capital,New,Released,2025-06-13,2025-06-13,2025-07-20,2025-07-22,18:00 ET,EXP-EXTN,P. Officer C,Pr. Officer A,Rev C,https://internal.example/ann/30045,Y,Y,Y,Y,3445,10035285,3975244,1590,Y,N,N,N,N,N,Released
VES-030046,BNK-0600046,DEP-09000046,DTC,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,QRB00DH,United Kingdom,Consent Exchange Offer,Ironclad Investments,New,Pending,2025-09-13,2025-09-15,2025-09-25,2025-09-27,17:00 ET,TIME-SENS,P. Officer B,Pr. Officer C,Rev B,https://internal.example/ann/30046,N,N,Y,Y,588,2896488,509813,111,N,N,Y,N,N,N,Pending
VES-030047,BNK-0600047,DEP-09000047,Euroclear,Larkspur Aerospace AG,S130331,JXIO6L01A,CAJXIO6L01A7,Z0W9ZCR,United States,Warrant Redemption,Ridgepoint Capital,Update,Pending,2025-12-17,2025-12-19,2026-01-20,2026-01-22,12:00 ET,EXP-EXTN,P. Officer A,Pr. Officer A,Rev A,https://internal.example/ann/30047,N,N,Y,N,1364,5190020,3023536,284,N,N,Y,N,N,Y,Pending
VES-030048,BNK-0600048,DEP-09000048,Euroclear,Yarrow Aerospace SA,S364869,243Q63M0K,GB243Q63M0K8,WN1F1T8,Canada,Consent Exchange Offer,Ridgepoint Capital,New,Pending,2025-07-26,2025-07-28,2025-08-05,2025-08-07,17:00 ET,DOC-HEAVY,P. Officer A,Pr. Officer B,Rev A,https://internal.example/ann/30048,N,N,Y,Y,1591,3866130,1230356,1357,N,N,N,N,N,N,Pending
VES-030049,BNK-0600049,DEP-09000049,DTC,Zephyr Communications plc,S519946,NOS5NV2EQ,USNOS5NV2EQ2,2GSKC6H,Bermuda,Dutch Auction,Ridgepoint Capital,New,Released,2026-02-08,2026-02-09,2026-02-19,2026-02-21,18:00 ET,EXP-EXTN,P. Officer C,Pr. Officer B,Rev C,https://internal.example/ann/30049,Y,Y,N,Y,623,2188599,600788,552,Y,N,N,Y,N,N,Released
VES-030050,BNK-0600050,DEP-09000050,Euroclear,Evergreen Holdings Ltd,S623726,J38QTE4MI,BMJ38QTE4MI3,74GVLZR,Cayman Islands,Consent Exchange Offer,Whitewater Group,Update,Closed,2026-01-20,2026-01-21,2026-02-14,2026-02-16,23:59 ET,EXP-EXTN,P. Officer D,Pr. Officer D,Rev A,https://internal.example/ann/30050,Y,Y,Y,N,443,901505,82691,147,N,N,N,N,N,N,Completed
VES-030051,BNK-0600051,DEP-09000051,Euroclear,Tideline Aerospace AG,S651788,MDEPLR4KR,GBMDEPLR4KR3,NBTPCC8,Canada,Monthly Redemption Privilege,Blackstar Holdings,New,Released,2026-03-13,2026-03-15,2026-03-30,2026-04-01,18:00 ET,EXP-EXTN,P. Officer D,Pr. Officer A,Rev B,https://internal.example/ann/30051,Y,Y,N,N,1012,1248808,298373,651,N,N,N,N,N,N,Released
VES-030052,BNK-0600052,DEP-09000052,Euroclear,Tideline Bank plc,S815467,H5VJV2PUJ,USH5VJV2PUJ7,FZR8P1K,Canada,Warrant Exercise,Issuer Itself,New,Released,2025-10-11,2025-10-11,2025-11-14,2025-11-16,18:00 ET,TIME-SENS,P. Officer D,Pr. Officer C,Rev A,https://internal.example/ann/30052,Y,Y,Y,Y,2818,10801394,1024493,2539,N,N,N,N,N,N,Released
VES-030053,BNK-0600053,DEP-09000053,DTC,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,NB5NXXY,Bermuda,Warrant Exercise,Kingfisher Capital,New,Closed,2025-09-13,2025-09-15,2025-10-22,2025-10-24,18:00 ET,DOC-HEAVY,P. Officer B,Pr. Officer D,Rev A,https://internal.example/ann/30053,Y,Y,N,N,477,536625,77509,125,N,N,N,N,Y,N,Completed
VES-030054,BNK-0600054,DEP-09000054,CDS,Zephyr Logistics plc,S462195,YSTBFXPUK,CAYSTBFXPUK3,4DS918Q,United States,Tender Offer,Stonecrest Partners,New,Closed,2026-03-31,2026-04-01,2026-04-21,2026-04-23,23:59 ET,,P. Officer B,Pr. Officer D,Rev B,https://internal.example/ann/30054,Y,Y,N,N,3358,13764442,2090646,2197,N,N,N,N,Y,N,Completed
VES-030055,BNK-0600055,DEP-09000055,Euroclear,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,RQW81VY,Cayman Islands,Mini-Tender,Ridgepoint Capital,New,Released,2025-12-03,2025-12-03,2025-12-18,2025-12-20,23:59 ET,BR-MISMATCH,P. Officer A,Pr. Officer D,Rev B,https://internal.example/ann/30055,Y,Y,N,Y,124,216876,94030,77,N,N,N,N,N,N,Released
VES-030056,BNK-0600056,DEP-09000056,Euroclear,Northstar Logistics plc,S640953,TTW7S0P9S,GBTTW7S0P9S4,SNPTBTJ,United States,Consent Solicitation,Whitewater Group,New,Closed,2026-02-19,2026-02-20,2026-03-19,2026-03-21,17:00 ET,EXP-EXTN,P. Officer B,Pr. Officer C,Rev A,https://internal.example/ann/30056,Y,Y,Y,N,132,248160,78658,68,N,N,N,N,N,N,Completed
VES-030057,BNK-0600057,DEP-09000057,CDS,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,T0W13Q2,United Kingdom,Consent Solicitation,Beacon Acquisition Corp,New,Released,2025-06-29,2025-06-30,2025-07-29,2025-07-31,23:59 ET,TIME-SENS,P. Officer C,Pr. Officer D,Rev B,https://internal.example/ann/30057,Y,Y,N,Y,1610,7848750,2991938,1601,N,N,N,N,N,N,Released
VES-030058,BNK-0600058,DEP-09000058,I&TS,Brightcap Bio Inc,S811067,M9AN33RDP,KYM9AN33RDP6,B0GSJSY,Bermuda,Dutch Auction,Kingfisher Capital,New,Released,2025-08-05,2025-08-06,2025-09-08,2025-09-10,17:00 ET,BR-MISMATCH,P. Officer D,Pr. Officer B,Rev A,https://internal.example/ann/30058,Y,Y,Y,N,2628,1871136,1098441,40,N,N,N,Y,N,N,Released
VES-030059,BNK-0600059,DEP-09000059,I&TS,Meadowfield Holdings AG,S671081,9DNRRNDAK,BM9DNRRNDAK9,22W315Z,Cayman Islands,Cease Trade Notice,Stonecrest Partners,New,Closed,2025-12-24,2025-12-24,2026-01-17,2026-01-19,20:00 ET,BR-MISMATCH,P. Officer B,Pr. Officer B,Rev A,https://internal.example/ann/30059,Y,Y,N,Y,574,51086,20908,501,Y,N,Y,N,N,N,Completed
VES-030060,BNK-0600060,DEP-09000060,CDS,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,V78K3CX,Bermuda,Consent Solicitation,Kingfisher Capital,New,Released,2025-06-11,2025-06-11,2025-06-20,2025-06-22,12:00 ET,BR-MISMATCH,P. Officer C,Pr. Officer B,Rev C,https://internal.example/ann/30060,Y,Y,Y,N,0,0,0,0,N,N,N,N,N,N,Released
