Bulletin Review ID,Review Date,Previous Business Date,Depository,Bulletin ID,Depository Event ID,Report Type,Event Type,Sub Event Type,Release Type,CA Type,Security Name,Security Code,CUSIP,ISIN,SEDOL,Holder Check Performed Flag,Holder Check System,Holder Count,No Holders Flag,No Security Code Flag,Added To VES Flag,Added To No Holders Report Flag,Existing VES Record Flag,VES Status,VES New/Update Indicator,Input Date Updated Flag,Extension Required Flag,Update Required Flag,FIO Flag,TNA Flag,Forwarded To Processing Officer Flag,Forwarded To Publishing Officer Flag,Forwarded To Shareholder Services Flag,Routed To Mandatory Team Flag,Comment,Font Colour Indicator,Email Distribution Required Flag
BR-0080043,2026-03-16,2026-03-15,CDS,BUL-CDS-916606,DEP-09000021,CDS Daily Bulletin,Consent Solicitation,,Initial,V,Juniper Trust SE,S318943,2EPJ4KOM6,GB2EPJ4KOM66,17TNKQL,Y,REOR,1968,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Blue,Y
BR-0080044,2026-03-20,2026-03-19,CDS,BUL-CDS-138014,DEP-09000021,CDS Daily Bulletin,Consent Solicitation,,Final,MWO,Juniper Trust SE,S318943,2EPJ4KOM6,GB2EPJ4KOM66,17TNKQL,Y,REOR,1966,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Green,N
BR-0080045,2025-08-30,2025-08-29,Euroclear,BUL-Euroclear-766336,DEP-09000022,Euroclear Daily Notice,Consent Exchange Offer,,Initial,,Glenmoor Capital AG,S302522,PBSRFJ2Q6,GBPBSRFJ2Q67,6YXR6Z3,Y,DSNet,905,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Red,N
BR-0080046,2025-12-10,2025-12-09,I&TS,BUL-I&TS-917994,DEP-09000023,Email Attachment,Convertible Debenture Conversion,,Initial,,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,Y,RCM,2686,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,,Blue,N
BR-0080047,2025-12-16,2025-12-15,I&TS,BUL-I&TS-290423,DEP-09000023,PDF Binder,Convertible Debenture Conversion,,Final,,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,WQFP206,Y,Broadridge,2681,N,N,N,N,Y,Closed,Update,N,N,Y,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Red,N
BR-0080048,2025-12-12,2025-12-11,I&TS,BUL-I&TS-146934,DEP-09000024,Excel Conversion,Dutch Auction,,Final,,Pinewright Industries plc,S073457,P7AMV17FX,KYP7AMV17FX7,JNRVG0M,Y,RCM,3119,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Black,N
BR-0080049,2025-12-20,2025-12-19,I&TS,BUL-I&TS-919883,DEP-09000024,Macro-Created Report,Dutch Auction,,Initial,,Pinewright Industries plc,S073457,P7AMV17FX,KYP7AMV17FX7,JNRVG0M,Y,Broadridge,3123,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Holder check confirms population.,Green,Y
BR-0080050,2025-08-24,2025-08-23,DTC,BUL-DTC-542424,DEP-09000025,Declared Payable Redemptions,Odd Lot Offer,,Initial,,Meadowfield Media Inc,S640378,74DN24QPH,CA74DN24QPH4,H085KZ6,Y,DSNet,2623,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Red,N
BR-0080051,2025-09-05,2025-09-04,DTC,BUL-DTC-588199,DEP-09000025,RPA Updated with Position,Odd Lot Offer,,Update,,Meadowfield Media Inc,S640378,74DN24QPH,CA74DN24QPH4,H085KZ6,Y,RCM,2621,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Red,Y
BR-0080052,2026-04-16,2026-04-15,Euroclear,BUL-Euroclear-131946,DEP-09000026,Euroclear Daily Notice,Consent Exchange Offer,,Initial,,Westmark Pharmaceuticals Corp,S617759,TVY0KEAUQ,KYTVY0KEAUQ9,JWPH8YN,Y,DSNet,3385,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,,Red,N
BR-0080053,2026-04-22,2026-04-21,Euroclear,BUL-Euroclear-563131,DEP-09000026,Euroclear Daily Notice,Consent Exchange Offer,,Update,,Westmark Pharmaceuticals Corp,S617759,TVY0KEAUQ,KYTVY0KEAUQ9,JWPH8YN,Y,REOR,3389,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,,Black,N
BR-0080054,2026-03-11,2026-03-10,CDS,BUL-CDS-642077,DEP-09000027,CDS Daily Bulletin,Tender Offer,,Final,MWO,Evergreen Properties SE,S027873,0BV6UOYI6,GB0BV6UOYI68,8SRBYD2,Y,Broadridge,3006,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Red,Y
BR-0080055,2026-03-21,2026-03-20,CDS,BUL-CDS-294615,DEP-09000027,CDS Daily Bulletin,Tender Offer,,Initial,G,Evergreen Properties SE,S027873,0BV6UOYI6,GB0BV6UOYI68,8SRBYD2,Y,REOR,3007,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,,Red,N
BR-0080056,2026-03-29,2026-03-28,I&TS,BUL-I&TS-732398,DEP-09000028,Macro-Created Report,Dutch Auction,,Final,,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,V7VJ9MQ,Y,DSNet,869,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,No holders identified; archived to NHR.,Green,N
BR-0080057,2026-04-08,2026-04-07,I&TS,BUL-I&TS-818105,DEP-09000028,Excel Conversion,Dutch Auction,,Update,,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,V7VJ9MQ,Y,DSNet,874,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Black,N
BR-0080058,2026-04-04,2026-04-03,I&TS,BUL-I&TS-898998,DEP-09000028,Macro-Created Report,Dutch Auction,,Update,,Harborlight Aerospace Inc,S271586,ZM2NGCQVP,CAZM2NGCQVP3,V7VJ9MQ,Y,DSNet,869,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Green,N
BR-0080059,2025-12-13,2025-12-12,DTC,BUL-DTC-596385,DEP-09000029,Declared Payable Redemptions,Warrant Redemption,,Initial,,Juniper Bio Inc,S758381,D8W72I6BN,GBD8W72I6BN5,5STQBRH,Y,REOR,2204,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Holder check confirms population.,Black,N
BR-0080060,2025-12-24,2025-12-23,DTC,BUL-DTC-816984,DEP-09000029,RPA Create with Position,Warrant Redemption,,Initial,,Juniper Bio Inc,S758381,D8W72I6BN,GBD8W72I6BN5,5STQBRH,Y,DSNet,2209,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Holder check confirms population.,Blue,N
BR-0080061,2026-05-09,2026-05-08,Euroclear,BUL-Euroclear-687123,DEP-09000030,Euroclear Daily Notice,Monthly Redemption Privilege,,Update,,Umbra Trust SE,S281943,9JWT9UK7L,US9JWT9UK7L3,8J3M7PK,Y,RCM,731,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Document package received from offeror.,Black,N
BR-0080062,2026-05-13,2026-05-12,Euroclear,BUL-Euroclear-680183,DEP-09000030,Euroclear Daily Notice,Monthly Redemption Privilege,,Initial,,Umbra Trust SE,S281943,9JWT9UK7L,US9JWT9UK7L3,8J3M7PK,Y,RCM,728,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Green,Y
BR-0080063,2026-04-13,2026-04-12,Euroclear,BUL-Euroclear-273751,DEP-09000031,Euroclear Daily Notice,Late Tender Offer,,Initial,,Quartz Peak Aerospace AG,S833480,14UX5LUIH,GB14UX5LUIH2,MTZKKYN,Y,RCM,0,Y,N,Y,Y,N,On Hold,New,N,N,N,N,N,N,N,N,N,Holder check confirms population.,Blue,Y
BR-0080064,2026-04-25,2026-04-24,Euroclear,BUL-Euroclear-950577,DEP-09000031,Euroclear Daily Notice,Late Tender Offer,,Initial,,Quartz Peak Aerospace AG,S833480,14UX5LUIH,GB14UX5LUIH2,MTZKKYN,Y,Broadridge,1,N,N,N,N,Y,On Hold,Update,N,N,Y,N,N,Y,Y,Y,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Red,Y
BR-0080065,2026-03-25,2026-03-24,CDS,BUL-CDS-661287,DEP-09000032,CDS Daily Bulletin,Odd Lot Offer,,Final,V,Quartz Peak Logistics NV,S696737,EJ6XXBL7E,BMEJ6XXBL7E0,LP95M15,Y,REOR,2218,N,N,Y,N,N,Released,New,N,Y,N,N,N,Y,Y,N,N,Document package received from offeror.,Blue,N
BR-0080066,2026-03-31,2026-03-30,CDS,BUL-CDS-249603,DEP-09000032,CDS Daily Bulletin,Odd Lot Offer,,Initial,M,Quartz Peak Logistics NV,S696737,EJ6XXBL7E,BMEJ6XXBL7E0,LP95M15,Y,DSNet,2216,N,N,N,N,Y,Released,Update,N,Y,Y,N,N,Y,Y,N,N,,Red,N
BR-0080067,2025-11-02,2025-11-01,I&TS,BUL-I&TS-887177,DEP-09000033,Email Attachment,Dutch Auction,,Update,,Larkspur Energy SA,S945860,RZIDHS7DG,GBRZIDHS7DG4,75RVDNK,Y,DSNet,2269,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Cross-depo discrepancy; using bulk-of-holdings expiry.,Blue,N
BR-0080068,2026-05-16,2026-05-15,CDS,BUL-CDS-900911,DEP-09000034,CDS Daily Bulletin,Rights Offering,,Final,M,Meadowfield Pharmaceuticals Ltd,S260312,K0PMUJVWY,GBK0PMUJVWY3,L99Z9JZ,Y,REOR,686,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Red,N
BR-0080069,2026-05-22,2026-05-21,CDS,BUL-CDS-505969,DEP-09000034,CDS Daily Bulletin,Rights Offering,,Update,M,Meadowfield Pharmaceuticals Ltd,S260312,K0PMUJVWY,GBK0PMUJVWY3,L99Z9JZ,Y,REOR,681,N,N,N,N,Y,Released,Update,N,N,Y,N,N,Y,Y,N,N,Concurrent event flagged for procedure review.,Black,N
BR-0080070,2025-10-02,2025-10-01,DTC,BUL-DTC-934795,DEP-09000035,Declared Payable Redemptions,Consent Exchange Offer,,Update,,Juniper Pharmaceuticals SE,S202269,EO530JMR8,KYEO530JMR86,NKNXQMN,Y,RCM,2115,N,N,Y,N,N,Released,New,N,N,N,N,N,Y,Y,N,N,Holder check confirms population.,Black,N
BR-0080071,2026-02-24,2026-02-23,DTC,BUL-DTC-357166,DEP-09000036,RPA Updated with Position,Mini-Tender,,Initial,,Westmark Industries Corp,S639716,YAS8DLQQ7,KYYAS8DLQQ77,SW6BRC4,Y,DSNet,2067,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,Update reflects revised expiry from depository.,Red,N
BR-0080072,2025-11-29,2025-11-28,CDS,BUL-CDS-985765,DEP-09000037,CDS Daily Bulletin,Late Tender Offer,,Final,MWO,Doverpoint Properties Ltd,S927373,Z5NPKC098,BMZ5NPKC0981,LL4FZT1,Y,DSNet,2187,N,N,Y,N,N,Closed,New,N,N,N,N,N,Y,Y,N,N,,Red,Y
