Bond Event ID,Depository,Report Source,Report ID,CUSIP,ISIN,ADP Code,Security Description,Currency,Principal Amount,Interest Amount,Net Amount,Payment Rate,Maturity Date,Payment Date,Value Date,Payment Received Date,Payment Received Flag,Greater Than 5MM Flag,Control Account From,Control Account To,Reorg Bond Control Account,Manual Journal Required Flag,JEFE Required Flag,Journal Reference ID,Journal Status,Backdated Entry Flag,Client Payment Processed Flag,Payment Sheet Created Flag,Physical Certificate Flag,Certificate Number,Vault Box Account,Transfer Box Account,Computershare Sent Date,Courier Tracking Reference,Principal Interest Split Required Flag,Email Notification Sent Flag,Final Reconciliation Status
BND-050015,Euroclear,Euroclear Final Redemption,RPT-Euroclear-666848,JSRFS7ZJF,CAJSRFS7ZJF3,P9SR5B,Evergreen Resources Corp FRN 2030,GBP,20938588.99,221311.43,21159900.419999998,101.1021,2025-10-13,2025-10-13,2025-10-13,2025-10-14,Y,Y,CA-71600,CA-53763,RBA-9987,Y,Y,JRN-220491,Reversed,Y,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050016,DTC,DTC Full Call,RPT-DTC-387106,MKLM2ICM7,KYMKLM2ICM73,S992KW,Pinewright Energy AG FRN 2030,CAD,14300973.09,135471.0,14436444.09,101.8164,2026-03-25,2026-03-25,2026-03-25,2026-03-28,Y,Y,CA-99242,CA-94276,RBA-1250,Y,Y,JRN-770723,Approved,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050017,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-862133,TYPANCJY1,KYTYPANCJY18,I1D6NS,Oakhill Holdings Inc 5.25% 2031,USD,15479810.3,601881.24,16081691.540000001,102.0275,2025-11-18,2025-11-18,2025-11-18,2025-11-20,Y,Y,CA-34747,CA-55616,RBA-4938,N,N,,,N,Y,Y,Y,CERT-634303,VLT-997,XFR-902,2025-11-07,TRK751793049,Y,Y,Reconciled
BND-050018,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-696715,I8OXWXTJA,KYI8OXWXTJA5,PI442H,Northstar Media NV 6.00% 2028,EUR,15054121.56,277445.97,15331567.530000001,104.1097,2025-11-25,2025-11-25,2025-11-25,2025-11-28,Y,Y,CA-39178,CA-42271,RBA-2722,N,N,,,Y,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050019,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-168806,V0LFPC6B6,USV0LFPC6B66,4CN1W3,Glenmoor Properties NV Sub Notes 2032,CAD,14541924.12,60541.35,14602465.469999999,95.353,2026-02-28,2026-02-28,2026-02-28,2026-03-01,Y,Y,CA-28022,CA-36017,RBA-2127,Y,Y,JRN-437169,Posted,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050020,BNY,Bank of New York Scheduled Payment,RPT-BNY-407383,EO530JMR8,KYEO530JMR86,0RJXE9,Juniper Pharmaceuticals SE 6.00% 2028,CAD,20501991.81,292149.63,20794141.439999998,102.1573,2025-10-06,2025-10-06,2025-10-06,2025-10-07,Y,Y,CA-42665,CA-45903,RBA-2120,Y,Y,JRN-357814,Pending Approval,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050021,CDS,CDS Daily Redemption,RPT-CDS-663678,COX6ZJ8ND,BMCOX6ZJ8ND4,0MINNY,Fairhaven Bio NV 5.25% 2031,USD,9275854.2,331597.99,9607452.19,98.8822,2025-12-21,2025-12-21,2025-12-21,2025-12-22,Y,Y,CA-93293,CA-12943,RBA-5236,Y,Y,JRN-602453,Posted,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050022,BNY,Bank of New York Scheduled Payment,RPT-BNY-218736,MKLM2ICM7,KYMKLM2ICM73,44DFR0,Pinewright Energy AG FRN 2030,EUR,22016187.44,608317.95,22624505.39,104.4234,2026-05-20,2026-05-20,2026-05-20,2026-05-20,Y,Y,CA-61698,CA-14234,RBA-5947,N,N,,,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050023,CDS,CDS Daily Redemption,RPT-CDS-712598,IOQSTII9A,CAIOQSTII9A6,1FDSJG,Juniper Mining plc Conv 4.5% 2027,GBP,21070105.49,270047.75,21340153.24,103.9917,2026-03-11,2026-03-11,2026-03-11,2026-03-12,Y,Y,CA-61674,CA-18139,RBA-3624,Y,Y,JRN-159599,Posted,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050024,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-256210,UEDF3YTOR,USUEDF3YTOR2,WM08LP,Pinewright Properties NV FRN 2030,CAD,199691.43,4627.31,204318.74,96.8401,2026-01-01,2026-01-01,2026-01-01,2026-01-01,Y,N,CA-90434,CA-73430,RBA-1789,N,N,,,N,Y,Y,N,,,,,,Y,N,In Progress
BND-050025,Euroclear,Euroclear Final Redemption,RPT-Euroclear-377711,V68R6266H,GBV68R6266H2,SZXIFZ,Ironbridge Media SE 6.00% 2028,CAD,6323678.34,57748.5,6381426.84,104.6087,2025-10-10,2025-10-10,2025-10-10,2025-10-11,Y,Y,CA-94983,CA-95667,RBA-1069,N,N,,,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050026,DTC,DTC Full Call,RPT-DTC-942628,80QXORTIR,KY80QXORTIR7,EO0SP9,Tideline Capital SA Conv 4.5% 2027,EUR,19012500.3,652205.85,19664706.150000002,97.7859,2025-06-07,2025-06-07,2025-06-07,2025-06-07,Y,Y,CA-74845,CA-62620,RBA-4366,N,N,,,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050027,BNY,Bank of New York Scheduled Payment,RPT-BNY-942914,MKLM2ICM7,KYMKLM2ICM73,1II9M9,Pinewright Energy AG 5.25% 2031,USD,3549337.76,94674.99,3644012.75,98.6865,2026-03-09,2026-03-09,2026-03-09,2026-03-11,Y,N,CA-38127,CA-61239,RBA-5471,Y,Y,JRN-977019,Reversed,Y,Y,Y,N,,,,,,N,N,Reconciled
BND-050028,BNY,Bank of New York Scheduled Payment,RPT-BNY-446700,SDAN28YVA,KYSDAN28YVA1,87G6LU,Yarrow Holdings Inc Sub Notes 2032,GBP,3041598.85,76955.9,3118554.75,102.3131,2025-06-18,2025-06-18,2025-06-18,2025-06-21,Y,N,CA-97306,CA-39746,RBA-8526,N,N,,,N,Y,Y,N,,,,,,Y,N,Reconciled
BND-050029,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-607791,AIEWVKQAJ,KYAIEWVKQAJ4,NUSKK4,Brightcap Bio plc 5.25% 2031,CAD,7402481.04,101109.74,7503590.78,103.5784,2026-02-14,2026-02-14,2026-02-14,2026-02-15,Y,Y,CA-95013,CA-38095,RBA-5729,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050030,DTC,DTC Full Call,RPT-DTC-557825,X69NI389U,GBX69NI389U4,NQLMCX,Ironbridge Capital plc Conv 4.5% 2027,GBP,537108.21,10397.12,547505.33,95.9822,2026-01-26,2026-01-26,2026-01-26,2026-01-26,Y,N,CA-43965,CA-59693,RBA-4781,Y,Y,JRN-169416,Posted,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050031,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-811380,T3VOSPW21,BMT3VOSPW216,FDFCQN,Evergreen Mining Inc 5.25% 2031,EUR,12370050.64,393254.33,12763304.97,100.1782,2025-09-29,2025-09-29,2025-09-29,2025-09-30,Y,Y,CA-23719,CA-68676,RBA-7574,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050032,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-356971,TYPANCJY1,KYTYPANCJY18,GE3JU2,Oakhill Holdings Inc 6.00% 2028,USD,11870584.29,198915.57,12069499.86,97.5619,2026-03-19,2026-03-19,2026-03-19,2026-03-21,Y,Y,CA-36366,CA-10525,RBA-8730,N,N,,,N,Y,Y,Y,CERT-974743,VLT-188,XFR-170,2026-03-07,TRK508631727,N,Y,In Progress
BND-050033,Euroclear,Euroclear Final Redemption,RPT-Euroclear-384817,SDAN28YVA,KYSDAN28YVA1,G0R5TS,Yarrow Holdings Inc 5.25% 2031,USD,16327192.77,302869.73,16630062.5,102.2307,2025-10-02,2025-10-02,2025-10-02,2025-10-04,Y,Y,CA-79904,CA-42173,RBA-3209,N,N,,,N,Y,Y,Y,CERT-840450,VLT-371,XFR-280,2025-09-13,TRK790361431,Y,Y,In Progress
BND-050034,BNY,Bank of New York Scheduled Payment,RPT-BNY-156395,TYPANCJY1,KYTYPANCJY18,1ABKVV,Oakhill Holdings Inc Conv 4.5% 2027,EUR,3444863.86,57987.37,3502851.23,100.4556,2025-07-18,2025-07-18,2025-07-18,2025-07-20,Y,N,CA-13277,CA-30923,RBA-8392,N,N,,,N,Y,Y,N,,,,,,Y,N,Variance Investigation
BND-050035,Euroclear,Euroclear Final Redemption,RPT-Euroclear-947124,DGZ6091DR,USDGZ6091DR8,SZ0HQX,Meadowfield Capital AG Sub Notes 2032,USD,12970432.44,446156.38,13416588.82,98.1528,2025-12-27,2025-12-27,2025-12-27,2025-12-30,Y,Y,CA-23821,CA-23904,RBA-4399,Y,Y,JRN-661768,Reversed,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050036,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-109597,FMID9M4HJ,BMFMID9M4HJ7,90IQ2T,Oakhill Capital Ltd FRN 2030,GBP,12547018.73,340708.98,12887727.71,96.4118,2025-09-22,2025-09-22,2025-09-22,2025-09-22,Y,Y,CA-20261,CA-24129,RBA-9970,Y,Y,JRN-243861,Reversed,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050037,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-485915,V68R6266H,GBV68R6266H2,8FBE3X,Ironbridge Media SE 6.00% 2028,USD,5989063.14,196264.5,6185327.64,96.3454,2025-09-09,2025-09-09,2025-09-09,2025-09-11,Y,Y,CA-90771,CA-59799,RBA-6085,N,N,,,Y,Y,Y,Y,CERT-351030,VLT-506,XFR-307,2025-08-31,TRK896455014,N,Y,In Progress
BND-050038,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-275429,WVM09UVFJ,USWVM09UVFJ8,FH98JV,Evergreen Energy NV Sub Notes 2032,EUR,11301626.76,317770.88,11619397.64,95.0006,2025-06-27,2025-06-27,2025-06-27,2025-06-30,Y,Y,CA-15325,CA-57733,RBA-4660,N,N,,,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050039,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-432207,SDAN28YVA,KYSDAN28YVA1,9LDRGN,Yarrow Holdings Inc 6.00% 2028,GBP,12219409.1,236374.47,12455783.57,102.212,2025-12-12,2025-12-12,2025-12-12,2025-12-14,Y,Y,CA-44640,CA-28406,RBA-3754,Y,Y,JRN-694414,Posted,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050040,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-978412,MATWH65DV,KYMATWH65DV8,2AJPA5,Nightingale Media plc 6.00% 2028,USD,23396902.57,893128.21,24290030.78,95.4396,2025-07-20,2025-07-20,2025-07-20,2025-07-23,Y,Y,CA-19220,CA-56690,RBA-5281,Y,Y,JRN-940799,Reversed,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050041,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-169199,UEDF3YTOR,USUEDF3YTOR2,N3PJP5,Pinewright Properties NV Sub Notes 2032,USD,4582639.03,7459.47,4590098.5,103.0728,2026-02-27,2026-02-27,2026-02-27,2026-03-02,Y,N,CA-75268,CA-65578,RBA-7246,N,N,,,N,Y,Y,N,,,,,,N,N,In Progress
BND-050042,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-874707,FMID9M4HJ,BMFMID9M4HJ7,HJ8U0H,Oakhill Capital Ltd Conv 4.5% 2027,CAD,24626524.9,52125.19,24678650.09,104.0169,2026-05-11,2026-05-11,2026-05-11,2026-05-14,Y,Y,CA-35210,CA-38643,RBA-3061,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050043,CDS,CDS Daily Redemption,RPT-CDS-740294,IOQSTII9A,CAIOQSTII9A6,P7ZSQW,Juniper Mining plc 6.00% 2028,GBP,10025934.12,134587.12,10160521.239999998,95.5934,2026-03-17,2026-03-17,2026-03-17,2026-03-19,Y,Y,CA-52420,CA-33433,RBA-9631,N,N,,,N,Y,Y,Y,CERT-588819,VLT-892,XFR-657,2026-03-12,TRK643913260,Y,Y,Reconciled
BND-050044,Euroclear,Euroclear Final Redemption,RPT-Euroclear-833860,HMWNR09HK,CAHMWNR09HK6,ONPNJR,Glenmoor Holdings plc FRN 2030,USD,24686203.02,103341.38,24789544.4,99.746,2026-01-12,2026-01-12,2026-01-12,,N,Y,CA-96386,CA-46558,RBA-2967,Y,Y,JRN-939430,Reversed,N,N,N,N,,,,,,N,Y,In Progress
BND-050045,CDS,CDS Daily Redemption,RPT-CDS-292769,M9AN33RDP,KYM9AN33RDP6,1F6DAB,Brightcap Bio Inc Sub Notes 2032,GBP,5486252.59,77349.01,5563601.6,96.759,2026-03-26,2026-03-26,2026-03-26,2026-03-27,Y,Y,CA-14072,CA-13528,RBA-1075,Y,Y,JRN-646341,Posted,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050046,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-514962,JSRFS7ZJF,CAJSRFS7ZJF3,MHQR8J,Evergreen Resources Corp FRN 2030,USD,17466239.57,469873.38,17936112.95,96.8742,2025-12-31,2025-12-31,2025-12-31,2026-01-03,Y,Y,CA-52989,CA-91457,RBA-8854,Y,Y,JRN-185193,Pending Approval,N,Y,Y,Y,CERT-444426,VLT-827,XFR-892,2025-12-23,TRK590328356,Y,Y,Variance Investigation
BND-050047,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-764728,J38QTE4MI,BMJ38QTE4MI3,E0N5V4,Evergreen Holdings Ltd FRN 2030,USD,14004467.8,217614.86,14222082.66,103.6092,2025-09-24,2025-09-24,2025-09-24,2025-09-27,Y,Y,CA-10993,CA-58245,RBA-4530,N,N,,,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050048,CDS,CDS Daily Redemption,RPT-CDS-926476,LW843F2IV,KYLW843F2IV3,I3T5I0,Kestrel Industries NV 5.25% 2031,GBP,18303787.93,528246.29,18832034.22,98.7153,2026-02-04,2026-02-04,2026-02-04,2026-02-05,Y,Y,CA-41202,CA-94960,RBA-8089,N,N,,,N,Y,Y,N,,,,,,N,Y,In Progress
BND-050049,BNY,Bank of New York Scheduled Payment,RPT-BNY-484511,PEM59EVCX,BMPEM59EVCX8,V52V9G,Meadowfield Holdings AG 5.25% 2031,EUR,2714957.43,98088.42,2813045.85,97.1754,2025-10-25,2025-10-25,2025-10-25,2025-10-26,Y,N,CA-34620,CA-41864,RBA-8181,N,N,,,N,Y,Y,N,,,,,,Y,N,Reconciled
BND-050050,DTC,DTC Full Call,RPT-DTC-650487,A6CHJ9LMK,KYA6CHJ9LMK0,FANYV4,Larkspur Bank SA Conv 4.5% 2027,GBP,21252686.81,144402.08,21397088.889999997,97.79,2026-04-25,2026-04-25,2026-04-25,,N,Y,CA-12887,CA-70190,RBA-9709,N,N,,,N,N,N,N,,,,,,N,Y,Variance Investigation
BND-050051,Euroclear,Euroclear Final Redemption,RPT-Euroclear-253779,IOQSTII9A,CAIOQSTII9A6,PSQWX0,Juniper Mining plc 6.00% 2028,USD,455388.66,13223.47,468612.12999999995,96.0059,2025-06-27,2025-06-27,2025-06-27,2025-06-27,Y,N,CA-96670,CA-62076,RBA-5755,N,N,,,N,Y,Y,N,,,,,,Y,N,In Progress
BND-050052,CDS,CDS Daily Redemption,RPT-CDS-295953,V0LFPC6B6,USV0LFPC6B66,C7D5O4,Glenmoor Properties NV FRN 2030,USD,17573030.11,26694.37,17599724.48,97.2598,2025-07-06,2025-07-06,2025-07-06,2025-07-08,Y,Y,CA-17198,CA-20751,RBA-8537,Y,N,JRN-902682,Reversed,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050053,CDS,CDS Daily Redemption,RPT-CDS-470226,W9DJSSI40,CAW9DJSSI403,DYALWM,Aldergrove Bank Inc 6.00% 2028,USD,16538107.18,325197.92,16863305.1,102.8624,2026-01-02,2026-01-02,2026-01-02,2026-01-02,Y,Y,CA-82806,CA-82730,RBA-6837,Y,N,JRN-141126,Reversed,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050054,Euroclear,Euroclear Cash and Share Redemption,RPT-Euroclear-436426,EO530JMR8,KYEO530JMR86,B2R2TC,Juniper Pharmaceuticals SE 5.25% 2031,USD,13891710.61,28415.01,13920125.62,97.1802,2026-05-16,2026-05-16,2026-05-16,2026-05-17,Y,Y,CA-81315,CA-33319,RBA-6875,N,N,,,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050055,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-303194,J38QTE4MI,BMJ38QTE4MI3,FTG2TM,Evergreen Holdings Ltd Conv 4.5% 2027,USD,18485387.46,671302.27,19156689.73,104.6096,2025-06-19,2025-06-19,2025-06-19,2025-06-19,Y,Y,CA-91735,CA-76435,RBA-7563,Y,Y,JRN-232453,Reversed,N,Y,Y,N,,,,,,N,Y,Reconciled
BND-050056,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-801786,WVM09UVFJ,USWVM09UVFJ8,0W14TK,Evergreen Energy NV FRN 2030,CAD,896413.83,7652.8,904066.63,101.4897,2026-01-07,2026-01-07,2026-01-07,2026-01-07,Y,N,CA-93036,CA-29034,RBA-1578,N,N,,,N,Y,Y,Y,CERT-574778,VLT-421,XFR-506,2025-12-29,TRK261325637,Y,Y,Reconciled
BND-050057,Euroclear,Euroclear Final Redemption,RPT-Euroclear-139901,YPU0CQTB7,KYYPU0CQTB77,S082US,Glenmoor Bio Inc 5.25% 2031,EUR,13306975.77,27337.99,13334313.76,98.8228,2026-05-14,2026-05-14,2026-05-14,2026-05-16,Y,Y,CA-68567,CA-78291,RBA-6113,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050058,CDS,CDS Daily Redemption,RPT-CDS-405792,0BV6UOYI6,GB0BV6UOYI68,U1GMPK,Evergreen Properties SE 5.25% 2031,CAD,11840627.57,117484.89,11958112.46,97.7568,2025-12-15,2025-12-15,2025-12-15,2025-12-15,Y,Y,CA-32164,CA-75679,RBA-4522,N,N,,,N,Y,Y,N,,,,,,Y,Y,Reconciled
BND-050059,State of Israel,Israel Physical Cert Maturity,RPT-State of Israel-603986,MKLM2ICM7,KYMKLM2ICM73,264GLB,Pinewright Energy AG FRN 2030,CAD,10071155.94,259265.6,10330421.54,95.9584,2026-04-28,2026-04-28,2026-04-28,2026-04-28,Y,Y,CA-26419,CA-90505,RBA-9906,Y,N,JRN-418162,Posted,N,Y,Y,Y,CERT-609657,VLT-177,XFR-187,2026-04-13,TRK825533554,Y,Y,Variance Investigation
BND-050060,CDS,CDS Daily Redemption,RPT-CDS-535626,UEDF3YTOR,USUEDF3YTOR2,7OHJ7E,Pinewright Properties NV FRN 2030,GBP,4588418.18,171709.32,4760127.5,101.9207,2025-12-29,2025-12-29,2025-12-29,2025-12-29,Y,N,CA-65352,CA-30456,RBA-7547,Y,Y,JRN-539056,Reversed,N,Y,Y,N,,,,,,Y,Y,Variance Investigation
BND-050061,Euroclear,Euroclear Final Redemption,RPT-Euroclear-818636,T1AU71G4R,CAT1AU71G4R5,F14XMI,Oakhill Capital NV FRN 2030,EUR,14035917.67,442916.22,14478833.89,96.0806,2026-02-06,2026-02-06,2026-02-06,2026-02-06,Y,Y,CA-53428,CA-33048,RBA-1339,N,N,,,N,Y,Y,N,,,,,,N,Y,Variance Investigation
BND-050062,Euroclear,Euroclear Final Redemption,RPT-Euroclear-333340,IOQSTII9A,CAIOQSTII9A6,JDATMC,Juniper Mining plc 6.00% 2028,GBP,15550864.99,574392.77,16125257.76,95.5807,2025-08-06,2025-08-06,2025-08-06,2025-08-09,Y,Y,CA-97079,CA-60032,RBA-8603,Y,Y,JRN-248421,Approved,N,Y,Y,N,,,,,,Y,Y,In Progress
BND-050063,DTC,DTC Maturity (Not Bond Desk),RPT-DTC-631756,TYPANCJY1,KYTYPANCJY18,8YTX9F,Oakhill Holdings Inc 6.00% 2028,CAD,5144379.84,187497.26,5331877.1,95.1124,2026-03-16,2026-03-16,2026-03-16,,N,Y,CA-25012,CA-58158,RBA-6863,Y,Y,JRN-695782,Approved,N,N,N,N,,,,,,N,Y,In Progress
BND-050064,CDS,CDS Daily Redemption,RPT-CDS-218983,018LUMYCT,GB018LUMYCT2,PNXAIB,Oakhill Technology SE 6.00% 2028,EUR,3617906.91,41915.05,3659821.96,95.0408,2025-06-18,2025-06-18,2025-06-18,2025-06-21,Y,N,CA-68768,CA-46974,RBA-9064,N,N,,,N,Y,Y,N,,,,,,N,N,In Progress
BND-050065,Euroclear,Euroclear Final Redemption,RPT-Euroclear-749285,X69NI389U,GBX69NI389U4,I81LZR,Ironbridge Capital plc Conv 4.5% 2027,EUR,14201796.06,171411.91,14373207.97,96.7333,2025-09-22,2025-09-22,2025-09-22,2025-09-24,Y,Y,CA-90685,CA-38303,RBA-1055,N,N,,,N,Y,Y,N,,,,,,N,Y,Variance Investigation
