Optional Dividend Event ID,Bank Event ID,DTC Event ID,Security Code,CUSIP,ISIN,Issuer,Record Date,Payable Date,DTC Expiration DateTime,BR Instruction Cutoff DateTime,Issuer Default Option,Option 1 Type,Option 1 Rate,Option 2 Type,Option 2 Rate,Cash Option Available Flag,Stock Option Available Flag,Default Option Number,REOR Event Created Flag,REOR Entry Code,DSNet Published Flag,TradeLink Available Date,Election Tracking Start Date,Election Tracking End Date,Total Holder Position,Cash Elected Quantity,Default Stock Quantity,Number of Elected Accounts,Operations Hub Report Used Flag,Broadridge Tag Updates Completed Flag,Cash Dividend Announcement Created Flag,DTC Instruction Submitted Flag,Entitlements Team Notified Flag,Final Election Status
ODV-070011,BNK-728449,DTC-9695900,S432221,AYUUHZS0P,CAAYUUHZS0P3,Tideline Properties Inc,2025-08-03,2025-09-04,2025-08-23T17:00:00,2025-08-21T12:00:00,Stock,Cash,3.9406,Stock,0.017157,Y,Y,2,Y,ODIV,Y,2025-08-04,2025-08-04,2025-08-22,2727205,1602895,1124310,1531,Y,Y,Y,Y,Y,Confirmed
ODV-070012,BNK-711445,DTC-8619153,S923489,ZNIAUSW0X,GBZNIAUSW0X2,Quartz Peak Mining Inc,2025-09-23,2025-10-14,2025-09-30T17:00:00,2025-09-28T12:00:00,Stock,Cash,2.5676,Stock,0.031966,Y,Y,2,Y,ODIV,Y,2025-09-24,2025-09-24,2025-09-29,680372,476945,203427,2837,Y,Y,Y,Y,Y,Submitted
ODV-070013,BNK-742321,DTC-6728183,S013464,V806WHGK4,USV806WHGK47,Cedarwood Trust,2026-03-14,2026-04-03,2026-03-21T17:00:00,2026-03-19T12:00:00,Stock,Cash,2.0509,Stock,0.048596,Y,Y,2,Y,ODIV,Y,2026-03-15,2026-03-15,2026-03-20,3676407,2010446,1665961,773,Y,Y,Y,Y,Y,Submitted
ODV-070014,BNK-772241,DTC-2070077,S179923,IYTFUDECA,GBIYTFUDECA0,Ironbridge Energy Ltd,2026-03-24,2026-04-29,2026-04-21T17:00:00,2026-04-19T12:00:00,Cash,Cash,3.4919,Stock,0.013595,Y,Y,1,Y,ODIV,Y,2026-03-25,2026-03-25,2026-04-20,176898,116018,60880,2211,Y,Y,Y,Y,Y,Confirmed
ODV-070015,BNK-772866,DTC-2534868,S534410,ES28GW5H9,BMES28GW5H92,Ironbridge Energy Ltd,2026-02-24,2026-03-22,2026-03-07T17:00:00,2026-03-05T12:00:00,Cash,Cash,1.8365,Stock,0.039344,Y,Y,1,Y,ODIV,Y,2026-02-25,2026-02-25,2026-03-06,3360049,2542861,817188,428,Y,Y,Y,Y,Y,Submitted
ODV-070016,BNK-794105,DTC-3147563,S058327,BY8RE4H3U,USBY8RE4H3U8,Glenmoor Holdings Inc,2025-08-19,2025-09-28,2025-09-14T17:00:00,2025-09-12T12:00:00,Cash,Cash,3.3454,Stock,0.028041,Y,N,1,Y,ODIV,Y,2025-08-20,2025-08-20,2025-09-13,4082661,2774527,1308134,1984,Y,Y,Y,Y,Y,Confirmed
ODV-070017,BNK-778140,DTC-2157201,S749999,XN2XOM36P,CAXN2XOM36P9,Cedarwood Trust,2025-10-27,2025-11-21,2025-11-14T17:00:00,2025-11-12T12:00:00,Cash,Cash,2.3425,Stock,0.040293,Y,Y,1,Y,ODIV,Y,2025-10-28,2025-10-28,2025-11-13,3929812,3219131,710681,2339,Y,Y,Y,Y,Y,Confirmed
ODV-070018,BNK-707226,DTC-1870659,S080499,SYL19JEMC,CASYL19JEMC2,Quartz Peak Mining Inc,2026-03-19,2026-04-28,2026-04-15T17:00:00,2026-04-13T12:00:00,Stock,Cash,0.5525,Stock,0.003801,Y,Y,2,Y,ODIV,Y,2026-03-20,2026-03-20,2026-04-14,239498,146743,92755,2391,Y,Y,Y,Y,Y,Submitted
ODV-070019,BNK-744476,DTC-5481651,S276997,BXHGDKLOM,GBBXHGDKLOM3,Fairhaven Bank plc,2026-01-28,2026-02-22,2026-02-07T17:00:00,2026-02-05T12:00:00,Cash,Cash,0.1348,Stock,0.034723,Y,N,1,Y,ODIV,Y,2026-01-29,2026-01-29,2026-02-06,3719929,3048771,671158,910,Y,Y,Y,Y,Y,Reconciled
ODV-070020,BNK-755673,DTC-2594056,S843399,BR0KI3125,KYBR0KI31252,Ironbridge Energy Ltd,2025-09-02,2025-09-17,2025-09-11T17:00:00,2025-09-09T12:00:00,Stock,Cash,3.3297,Stock,0.043835,Y,Y,2,Y,ODIV,Y,2025-09-03,2025-09-03,2025-09-10,2026934,998383,1028551,571,Y,Y,Y,Y,Y,Confirmed
ODV-070021,BNK-771305,DTC-1956438,S378173,WBQC56WOF,BMWBQC56WOF9,Fairhaven Bank plc,2025-09-06,2025-09-21,2025-09-15T17:00:00,2025-09-13T12:00:00,Cash,Cash,0.1344,Stock,0.005358,Y,Y,1,Y,ODIV,Y,2025-09-07,2025-09-07,2025-09-14,156668,136985,19683,2386,Y,Y,Y,Y,Y,Confirmed
ODV-070022,BNK-753188,DTC-7060404,S709794,GQL3ARI8Z,KYGQL3ARI8Z4,Riverstone Industries Ltd,2025-12-19,2026-01-07,2025-12-28T17:00:00,2025-12-26T12:00:00,Cash,Cash,3.4793,Stock,0.008644,Y,Y,1,Y,ODIV,Y,2025-12-20,2025-12-20,2025-12-27,1468973,1191753,277220,1909,Y,Y,Y,Y,Y,Confirmed
ODV-070023,BNK-797560,DTC-4475613,S534410,ES28GW5H9,BMES28GW5H92,Quartz Peak Mining Inc,2025-10-22,2025-11-06,2025-10-24T17:00:00,2025-10-22T12:00:00,Stock,Cash,1.1796,Stock,0.013271,Y,Y,2,Y,ODIV,Y,2025-10-23,2025-10-23,2025-10-23,2156891,1638353,518538,2091,Y,Y,Y,Y,Y,Confirmed
ODV-070024,BNK-787632,DTC-8471390,S822287,FN5DYYPIP,CAFN5DYYPIP5,Fairhaven Bank plc,2025-11-29,2025-12-25,2025-12-19T17:00:00,2025-12-17T12:00:00,Stock,Cash,4.7279,Stock,0.002697,Y,Y,2,Y,ODIV,Y,2025-11-30,2025-11-30,2025-12-18,617549,297932,319617,1615,Y,Y,Y,Y,Y,Reconciled
ODV-070025,BNK-744660,DTC-9478837,S261918,2KJYFZQOM,GB2KJYFZQOM3,Ironbridge Energy Ltd,2025-09-23,2025-10-19,2025-10-09T17:00:00,2025-10-07T12:00:00,Stock,Cash,1.8363,Stock,0.003607,Y,Y,2,Y,ODIV,Y,2025-09-24,2025-09-24,2025-10-08,3100989,2106368,994621,368,Y,Y,Y,Y,Y,Submitted
ODV-070026,BNK-750585,DTC-4911890,S068458,PR4M98UVB,USPR4M98UVB4,Riverstone Industries Ltd,2025-08-31,2025-09-16,2025-09-05T17:00:00,2025-09-03T12:00:00,Stock,Cash,1.9115,Stock,0.035915,Y,Y,2,Y,ODIV,Y,2025-09-01,2025-09-01,2025-09-04,1526846,1351831,175015,2088,Y,Y,Y,Y,Y,Reconciled
ODV-070027,BNK-771991,DTC-9407970,S237200,ZF3VGZYYV,BMZF3VGZYYV1,Verdant Pharmaceuticals SE,2026-04-12,2026-05-15,2026-05-07T17:00:00,2026-05-05T12:00:00,Stock,Cash,2.7667,Stock,0.0103,Y,Y,2,Y,ODIV,Y,2026-04-13,2026-04-13,2026-05-06,2489510,1276706,1212804,1722,Y,Y,Y,Y,Y,Reconciled
ODV-070028,BNK-794372,DTC-9667459,S467524,P0AZVPYSL,BMP0AZVPYSL2,Ironbridge Energy Ltd,2026-03-05,2026-04-13,2026-04-05T17:00:00,2026-04-03T12:00:00,Cash,Cash,3.3259,Stock,0.007228,N,N,1,Y,ODIV,Y,2026-03-06,2026-03-06,2026-04-04,2952614,2460445,492169,2393,Y,Y,Y,Y,Y,Submitted
ODV-070029,BNK-796020,DTC-2701997,S214022,MF92A6Y9H,GBMF92A6Y9H3,Riverstone Industries Ltd,2025-07-15,2025-08-20,2025-08-09T17:00:00,2025-08-07T12:00:00,Stock,Cash,0.8751,Stock,0.029367,Y,Y,2,Y,ODIV,Y,2025-07-16,2025-07-16,2025-08-08,1319164,1007828,311336,2803,Y,Y,Y,Y,Y,Confirmed
ODV-070030,BNK-739847,DTC-4024199,S238619,JJ9P5JZZG,CAJJ9P5JZZG3,Ironbridge Energy Ltd,2025-08-21,2025-09-24,2025-09-09T17:00:00,2025-09-07T12:00:00,Cash,Cash,0.7596,Stock,0.016264,Y,Y,1,Y,ODIV,Y,2025-08-22,2025-08-22,2025-09-08,1322687,736289,586398,344,Y,Y,Y,Y,Y,Confirmed
ODV-070031,BNK-731959,DTC-2981888,S887103,6M74JOXLA,BM6M74JOXLA7,Glenmoor Holdings Inc,2025-07-24,2025-08-08,2025-07-27T17:00:00,2025-07-25T12:00:00,Cash,Cash,0.2126,Stock,0.005156,Y,Y,1,Y,ODIV,Y,2025-07-25,2025-07-25,2025-07-26,3549916,2677762,872154,2005,Y,Y,Y,Y,Y,Submitted
ODV-070032,BNK-798469,DTC-5969752,S432221,AYUUHZS0P,CAAYUUHZS0P3,Cedarwood Trust,2026-04-10,2026-05-03,2026-04-20T17:00:00,2026-04-18T12:00:00,Stock,Cash,1.503,Stock,0.049599,Y,Y,2,Y,ODIV,Y,2026-04-11,2026-04-11,2026-04-19,4875319,2506513,2368806,1231,Y,Y,Y,Y,Y,Reconciled
ODV-070033,BNK-773227,DTC-7032937,S013464,V806WHGK4,USV806WHGK47,Fairhaven Bank plc,2026-04-04,2026-04-29,2026-04-21T17:00:00,2026-04-19T12:00:00,Stock,Cash,3.8899,Stock,0.03923,Y,Y,2,Y,ODIV,Y,2026-04-05,2026-04-05,2026-04-20,3788153,2901246,886907,2840,Y,Y,Y,Y,Y,Submitted
ODV-070034,BNK-788338,DTC-8972225,S883721,MX4MUPO3Z,GBMX4MUPO3Z9,Cedarwood Trust,2025-06-23,2025-07-29,2025-07-14T17:00:00,2025-07-12T12:00:00,Cash,Cash,2.6363,Stock,0.031154,Y,Y,1,Y,ODIV,Y,2025-06-24,2025-06-24,2025-07-13,215130,109187,105943,2658,Y,Y,Y,Y,Y,Confirmed
ODV-070035,BNK-719446,DTC-8060376,S469648,UT9KRWR57,GBUT9KRWR578,Fairhaven Bank plc,2026-01-09,2026-02-05,2026-01-29T17:00:00,2026-01-27T12:00:00,Stock,Cash,2.9385,Stock,0.042423,Y,Y,2,Y,ODIV,Y,2026-01-10,2026-01-10,2026-01-28,117201,87936,29265,2025,Y,Y,Y,Y,Y,Confirmed
ODV-070036,BNK-731596,DTC-7729603,S659233,MFJ6SEMJ8,KYMFJ6SEMJ83,Ironbridge Energy Ltd,2025-08-12,2025-09-10,2025-09-04T17:00:00,2025-09-02T12:00:00,Stock,Cash,2.6986,Stock,0.002583,Y,Y,2,Y,ODIV,Y,2025-08-13,2025-08-13,2025-09-03,719114,335325,383789,2049,Y,Y,Y,Y,Y,Submitted
ODV-070037,BNK-735697,DTC-2159967,S432700,O2JRH82AK,GBO2JRH82AK4,Westmark Capital Corp,2026-03-09,2026-03-25,2026-03-15T17:00:00,2026-03-13T12:00:00,Stock,Cash,1.4446,Stock,0.016422,Y,Y,2,Y,ODIV,Y,2026-03-10,2026-03-10,2026-03-14,2661790,2139503,522287,1868,Y,Y,Y,Y,Y,Submitted
ODV-070038,BNK-791636,DTC-9859255,S432221,AYUUHZS0P,CAAYUUHZS0P3,Cedarwood Trust,2025-11-24,2025-12-15,2025-11-30T17:00:00,2025-11-28T12:00:00,Stock,Cash,1.0175,Stock,0.010052,Y,Y,2,Y,ODIV,Y,2025-11-25,2025-11-25,2025-11-29,1799205,1347985,451220,1013,Y,Y,Y,Y,Y,Submitted
ODV-070039,BNK-756567,DTC-8656396,S907871,PR3TT2SBJ,KYPR3TT2SBJ1,Verdant Pharmaceuticals SE,2025-12-20,2026-01-22,2026-01-09T17:00:00,2026-01-07T12:00:00,Cash,Cash,3.2525,Stock,0.046685,Y,Y,1,Y,ODIV,Y,2025-12-21,2025-12-21,2026-01-08,4047537,2608000,1439537,1026,Y,Y,Y,Y,Y,Reconciled
ODV-070040,BNK-783451,DTC-6694756,S432700,O2JRH82AK,GBO2JRH82AK4,Northstar Resources Corp,2025-06-29,2025-07-15,2025-07-03T17:00:00,2025-07-01T12:00:00,Stock,Cash,1.2472,Stock,0.048051,Y,Y,2,Y,ODIV,Y,2025-06-30,2025-06-30,2025-07-02,1872864,845855,1027009,549,Y,Y,Y,Y,Y,Submitted
ODV-070041,BNK-795084,DTC-2160268,S849963,EPUSLD2LR,KYEPUSLD2LR1,Tideline Properties Inc,2025-10-09,2025-11-07,2025-11-01T17:00:00,2025-10-30T12:00:00,Cash,Cash,2.9846,Stock,0.012099,Y,Y,1,Y,ODIV,Y,2025-10-10,2025-10-10,2025-10-31,1487202,1001591,485611,1655,Y,Y,Y,Y,Y,Reconciled
ODV-070042,BNK-753270,DTC-5547613,S159417,523BPBVN6,KY523BPBVN62,Ironbridge Energy Ltd,2025-09-10,2025-10-14,2025-10-05T17:00:00,2025-10-03T12:00:00,Cash,Cash,4.1793,Stock,0.036409,Y,Y,1,Y,ODIV,Y,2025-09-11,2025-09-11,2025-10-04,1548474,900493,647981,341,Y,Y,Y,Y,Y,Confirmed
ODV-070043,BNK-765385,DTC-4630245,S086943,WJ0U8M084,BMWJ0U8M0845,Ironbridge Energy Ltd,2025-11-30,2025-12-25,2025-12-20T17:00:00,2025-12-18T12:00:00,Cash,Cash,3.4127,Stock,0.047901,Y,Y,1,Y,ODIV,Y,2025-12-01,2025-12-01,2025-12-19,191007,80371,110636,933,Y,Y,Y,Y,Y,Submitted
ODV-070044,BNK-745718,DTC-9691222,S822287,FN5DYYPIP,CAFN5DYYPIP5,Ironbridge Energy Ltd,2025-06-25,2025-08-04,2025-07-26T17:00:00,2025-07-24T12:00:00,Stock,Cash,4.9633,Stock,0.031615,Y,Y,2,Y,ODIV,Y,2025-06-26,2025-06-26,2025-07-25,3885548,1925096,1960452,1915,Y,Y,Y,Y,Y,Submitted
ODV-070045,BNK-785740,DTC-6091069,S534410,ES28GW5H9,BMES28GW5H92,Westmark Capital Corp,2025-10-31,2025-11-27,2025-11-19T17:00:00,2025-11-17T12:00:00,Stock,Cash,2.4263,Stock,0.029007,Y,Y,2,Y,ODIV,Y,2025-11-01,2025-11-01,2025-11-18,1550300,652016,898284,2567,Y,Y,Y,Y,Y,Confirmed
ODV-070046,BNK-705390,DTC-1504597,S783354,G6HZMB3GD,USG6HZMB3GD0,Fairhaven Bank plc,2025-06-12,2025-07-14,2025-07-02T17:00:00,2025-06-30T12:00:00,Cash,Cash,0.5171,Stock,0.007781,Y,N,1,Y,ODIV,Y,2025-06-13,2025-06-13,2025-07-01,3049464,1507313,1542151,703,Y,Y,Y,Y,Y,Confirmed
ODV-070047,BNK-747864,DTC-9317137,S323064,CADBAYROA,GBCADBAYROA3,Riverstone Industries Ltd,2025-08-28,2025-10-01,2025-09-18T17:00:00,2025-09-16T12:00:00,Cash,Cash,1.6354,Stock,0.025666,Y,Y,1,Y,ODIV,Y,2025-08-29,2025-08-29,2025-09-17,4071735,2549327,1522408,1139,Y,Y,Y,Y,Y,Submitted
ODV-070048,BNK-754801,DTC-9831723,S951288,EKLS5ZYG2,CAEKLS5ZYG24,Verdant Pharmaceuticals SE,2025-12-14,2025-12-31,2025-12-22T17:00:00,2025-12-20T12:00:00,Cash,Cash,1.828,Stock,0.014035,Y,Y,1,Y,ODIV,Y,2025-12-15,2025-12-15,2025-12-21,3247755,2148917,1098838,1682,Y,Y,Y,Y,Y,Submitted
ODV-070049,BNK-743569,DTC-2914633,S586514,B5LQ0YNTP,CAB5LQ0YNTP1,Westmark Capital Corp,2026-03-21,2026-04-08,2026-03-31T17:00:00,2026-03-29T12:00:00,Stock,Cash,2.1435,Stock,0.013661,Y,Y,2,Y,ODIV,Y,2026-03-22,2026-03-22,2026-03-30,3867406,1957390,1910016,1221,Y,Y,Y,Y,Y,Confirmed
ODV-070050,BNK-763020,DTC-3203703,S631348,G2MQSFUCZ,KYG2MQSFUCZ8,Cedarwood Trust,2025-08-16,2025-09-25,2025-09-11T17:00:00,2025-09-09T12:00:00,Cash,Cash,0.5884,Stock,0.02775,Y,Y,1,Y,ODIV,Y,2025-08-17,2025-08-17,2025-09-10,3413894,1492845,1921049,170,Y,Y,Y,Y,Y,Submitted
ODV-070051,BNK-777417,DTC-5872236,S898920,2V9BK9CQJ,US2V9BK9CQJ0,Quartz Peak Mining Inc,2026-01-11,2026-02-10,2026-01-31T17:00:00,2026-01-29T12:00:00,Cash,Cash,1.3669,Stock,0.047556,N,Y,1,Y,ODIV,Y,2026-01-12,2026-01-12,2026-01-30,1621361,1354218,267143,117,Y,Y,Y,Y,Y,Confirmed
ODV-070052,BNK-766654,DTC-2054971,S073457,P7AMV17FX,KYP7AMV17FX7,Glenmoor Holdings Inc,2026-02-28,2026-04-03,2026-03-21T17:00:00,2026-03-19T12:00:00,Cash,Cash,4.632,Stock,0.007285,Y,Y,1,Y,ODIV,Y,2026-03-01,2026-03-01,2026-03-20,4834427,2837328,1997099,905,Y,Y,Y,Y,Y,Confirmed
ODV-070053,BNK-778749,DTC-5404013,S276997,BXHGDKLOM,GBBXHGDKLOM3,Riverstone Industries Ltd,2025-08-17,2025-09-24,2025-09-19T17:00:00,2025-09-17T12:00:00,Cash,Cash,1.3625,Stock,0.041994,Y,Y,1,Y,ODIV,Y,2025-08-18,2025-08-18,2025-09-18,223983,170252,53731,1629,Y,Y,Y,Y,Y,Confirmed
ODV-070054,BNK-713915,DTC-8817733,S276997,BXHGDKLOM,GBBXHGDKLOM3,Quartz Peak Mining Inc,2025-11-28,2025-12-22,2025-12-08T17:00:00,2025-12-06T12:00:00,Cash,Cash,1.158,Stock,0.040767,Y,Y,1,Y,ODIV,Y,2025-11-29,2025-11-29,2025-12-07,3271143,2321258,949885,2825,Y,Y,Y,Y,Y,Confirmed
ODV-070055,BNK-721255,DTC-3392839,S318943,2EPJ4KOM6,GB2EPJ4KOM66,Tideline Properties Inc,2026-02-22,2026-03-31,2026-03-22T17:00:00,2026-03-20T12:00:00,Stock,Cash,3.7548,Stock,0.006179,Y,N,2,Y,ODIV,Y,2026-02-23,2026-02-23,2026-03-21,2259879,1923647,336232,332,Y,Y,Y,Y,Y,Submitted
ODV-070056,BNK-764368,DTC-9288353,S159417,523BPBVN6,KY523BPBVN62,Ironbridge Energy Ltd,2025-09-11,2025-10-15,2025-10-08T17:00:00,2025-10-06T12:00:00,Stock,Cash,1.2059,Stock,0.017536,Y,Y,2,Y,ODIV,Y,2025-09-12,2025-09-12,2025-10-07,2920662,1544794,1375868,2321,Y,Y,Y,Y,Y,Confirmed
ODV-070057,BNK-744512,DTC-4325989,S585288,4VG8898ET,CA4VG8898ET5,Tideline Properties Inc,2025-08-22,2025-09-16,2025-09-07T17:00:00,2025-09-05T12:00:00,Cash,Cash,1.2444,Stock,0.013284,Y,Y,1,Y,ODIV,Y,2025-08-23,2025-08-23,2025-09-06,2292596,1958132,334464,717,Y,Y,Y,Y,Y,Submitted
ODV-070058,BNK-784691,DTC-9789049,S959780,REPZHFPJP,USREPZHFPJP8,Tideline Properties Inc,2026-02-20,2026-04-01,2026-03-17T17:00:00,2026-03-15T12:00:00,Stock,Cash,0.7453,Stock,0.035682,Y,Y,2,Y,ODIV,Y,2026-02-21,2026-02-21,2026-03-16,1215803,535838,679965,616,Y,Y,Y,Y,Y,Submitted
ODV-070059,BNK-756955,DTC-2423986,S442368,88CJZY7SJ,US88CJZY7SJ5,Quartz Peak Mining Inc,2025-12-19,2026-01-22,2026-01-08T17:00:00,2026-01-06T12:00:00,Cash,Cash,0.1738,Stock,0.021665,Y,Y,1,Y,ODIV,Y,2025-12-20,2025-12-20,2026-01-07,3533487,2960137,573350,1200,Y,Y,Y,Y,Y,Submitted
ODV-070060,BNK-739751,DTC-3664771,S699641,XZLLXH802,KYXZLLXH8020,Verdant Pharmaceuticals SE,2026-03-27,2026-04-27,2026-04-19T17:00:00,2026-04-17T12:00:00,Cash,Cash,1.3529,Stock,0.016647,Y,Y,1,Y,ODIV,Y,2026-03-28,2026-03-28,2026-04-18,4221997,1932764,2289233,175,Y,Y,Y,Y,Y,Submitted
ODV-070061,BNK-708124,DTC-5714662,S898920,2V9BK9CQJ,US2V9BK9CQJ0,Glenmoor Holdings Inc,2025-07-29,2025-08-17,2025-08-12T17:00:00,2025-08-10T12:00:00,Cash,Cash,4.6471,Stock,0.028691,Y,Y,1,Y,ODIV,Y,2025-07-30,2025-07-30,2025-08-11,3483397,2536753,946644,2847,Y,Y,Y,Y,Y,Submitted
ODV-070062,BNK-739426,DTC-4457700,S442368,88CJZY7SJ,US88CJZY7SJ5,Westmark Capital Corp,2025-07-16,2025-08-17,2025-08-08T17:00:00,2025-08-06T12:00:00,Stock,Cash,2.2443,Stock,0.005673,Y,N,2,Y,ODIV,Y,2025-07-17,2025-07-17,2025-08-07,276512,215176,61336,96,Y,Y,Y,Y,Y,Submitted
ODV-070063,BNK-751658,DTC-9661745,S631348,G2MQSFUCZ,KYG2MQSFUCZ8,Tideline Properties Inc,2025-11-10,2025-11-28,2025-11-16T17:00:00,2025-11-14T12:00:00,Stock,Cash,4.9914,Stock,0.027726,N,Y,2,Y,ODIV,Y,2025-11-11,2025-11-11,2025-11-15,445915,235023,210892,1209,Y,Y,Y,Y,Y,Confirmed
ODV-070064,BNK-708694,DTC-2196193,S432700,O2JRH82AK,GBO2JRH82AK4,Riverstone Industries Ltd,2025-06-06,2025-07-05,2025-06-23T17:00:00,2025-06-21T12:00:00,Stock,Cash,1.8647,Stock,0.039733,Y,Y,2,Y,ODIV,Y,2025-06-07,2025-06-07,2025-06-22,4204446,2842268,1362178,262,Y,Y,Y,Y,Y,Reconciled
ODV-070065,BNK-755222,DTC-5045946,S689913,DXGC9J90G,BMDXGC9J90G0,Fairhaven Bank plc,2025-09-26,2025-10-20,2025-10-09T17:00:00,2025-10-07T12:00:00,Stock,Cash,4.732,Stock,0.012921,Y,Y,2,Y,ODIV,Y,2025-09-27,2025-09-27,2025-10-08,4290787,2259087,2031700,510,Y,Y,Y,Y,Y,Confirmed
ODV-070066,BNK-727328,DTC-2625660,S210795,MY3EKSVKF,USMY3EKSVKF9,Quartz Peak Mining Inc,2026-02-19,2026-03-10,2026-03-01T17:00:00,2026-02-27T12:00:00,Stock,Cash,0.7596,Stock,0.028271,Y,Y,2,Y,ODIV,Y,2026-02-20,2026-02-20,2026-02-28,2005929,1731397,274532,1955,Y,Y,Y,Y,Y,Confirmed
ODV-070067,BNK-711322,DTC-4541915,S815467,H5VJV2PUJ,USH5VJV2PUJ7,Tideline Properties Inc,2025-08-05,2025-08-23,2025-08-15T17:00:00,2025-08-13T12:00:00,Cash,Cash,4.3583,Stock,0.033683,Y,Y,1,Y,ODIV,Y,2025-08-06,2025-08-06,2025-08-14,3810064,2389548,1420516,497,Y,Y,Y,Y,Y,Reconciled
