Mandatory Event ID,Depository Event ID,Event Source,Event Type,Entry Code,Event Status,Business Line,Security Name,Security Code,CUSIP,ISIN,Jurisdiction,Depository,Depository Account,Submit/Hold Indicator,Submit/Hold Security Name,Submit/Hold Security Code,Submit/Hold ISIN,Submit/Hold Rate,Receive Security Name,Receive Security Code,Receive ISIN,Receive Rate,Receive Currency,Cash Rate,Record Date,Ex Date,Anticipated Payable Date,Actual Payable Date,Publish Date,Holder Count,Total Holdings,Control Account,Payment Required Flag,Payment Received Flag,Payment Processed Flag,Discrepancy Flag,Discrepancy Resolution Notes,Published to DSNet Flag,Published By,Reviewed By,Final Status
MEQ-040016,DEP-91000016,Issuer Direct,No Payment / Deemed Worthless,NPMT,Published,Capital Markets,Westmark Bank AG,S936672,P7XF4BOCX,GBP7XF4BOCX7,United States,CDS,DA-3892,Submit,Westmark Bank AG,S936672,GBP7XF4BOCX7,1.5448,,,,,,,2025-12-16,2025-12-17,2025-12-21,,2025-12-13,2463,1817694,CA-24193,N,N,N,N,,Y,Pub A,Rev 2,In Progress
MEQ-040017,DEP-91000017,Euroclear,Stock Dividend,STDV,Closed,Capital Markets,Westmark Communications Inc,S571551,VXFZTXI76,CAVXFZTXI763,United Kingdom,CDS,DA-1276,Hold,Westmark Communications Inc,S571551,CAVXFZTXI763,1.5795,Westmark Holdings SE,S237200,BMZF3VGZYYV1,0.7865,USD,0.2919,2025-06-13,2025-06-13,2025-06-16,2025-06-18,2025-05-31,1561,3811962,CA-53594,Y,Y,Y,N,,Y,Pub B,Rev 1,Completed
MEQ-040018,DEP-91000018,I&TS,Redemption,RDMP,Pending,Direct Investing,Meadowfield Pharmaceuticals Ltd,S260312,K0PMUJVWY,GBK0PMUJVWY3,Canada,CDS,DA-6860,Hold,Meadowfield Pharmaceuticals Ltd,S260312,GBK0PMUJVWY3,1.3556,,,,,,13.248,2025-12-18,2025-12-20,2026-01-01,2026-01-02,2025-12-06,1441,3732190,CA-27558,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040019,DEP-91000019,CDS,Stock Dividend,STDV,Published,Asset Servicing,Zephyr Technology Inc,S650358,8V5SCD7TS,CA8V5SCD7TS3,United States,Euroclear,DA-3402,Hold,Zephyr Technology Inc,S650358,CA8V5SCD7TS3,2.6322,Oakhill Logistics Corp,S600207,KYMM1XVFLZZ2,0.999,EUR,21.5656,2025-12-14,2025-12-15,2025-12-30,2025-12-30,2025-12-04,2243,5540210,CA-81661,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub A,Rev 3,Completed
MEQ-040020,DEP-91000020,DTC,Consolidation,CONS,Closed,Asset Servicing,Meadowfield Energy plc,S228164,5STIX5565,US5STIX55650,Canada,Euroclear,DA-1259,Hold,Meadowfield Energy plc,S228164,US5STIX55650,3.6335,,,,,,9.2658,2026-01-03,2026-01-03,2026-01-07,2026-01-09,2025-12-29,1486,4750742,CA-86680,Y,Y,Y,N,,Y,Pub A,Rev 3,Completed
MEQ-040021,DEP-91000021,Issuer Direct,Exchange,EXCH,Published,Direct Investing,Westmark Communications NV,S699641,XZLLXH802,KYXZLLXH8020,Canada,DTC,DA-3639,Hold,Westmark Communications NV,S699641,KYXZLLXH8020,1.5336,Brightcap Industries Inc,S432184,KYGZ023BQ123,2.7714,USD,35.5049,2025-10-28,2025-10-30,2025-11-08,2025-11-09,2025-10-25,242,438262,CA-85286,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040022,DEP-91000022,Euroclear,No Payment / Deemed Worthless,NPMT,Pending,Asset Servicing,Oakhill Aerospace Inc,S735362,EAHJJI2UH,CAEAHJJI2UH0,United Kingdom,DTC,DA-1356,Hold,Oakhill Aerospace Inc,S735362,CAEAHJJI2UH0,2.2482,,,,,,,2026-02-26,2026-02-27,2026-03-08,,2026-02-20,3248,1503824,CA-49205,N,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040023,DEP-91000023,Euroclear,Cash Merger,CMER,Closed,Asset Servicing,Zephyr Resources NV,S793154,GKHRT44H6,BMGKHRT44H63,Bermuda,DTC,DA-2858,Hold,Zephyr Resources NV,S793154,BMGKHRT44H63,0.9567,,,,,,48.4319,2025-07-19,2025-07-21,2025-08-05,2025-08-08,2025-07-07,2314,3093818,CA-64420,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040024,DEP-91000024,DTC,Warrant Expiration,WEXP,Published,Direct Investing,Oakhill Aerospace Inc,S735362,EAHJJI2UH,CAEAHJJI2UH0,United Kingdom,DTC,DA-6972,Submit,Oakhill Aerospace Inc,S735362,CAEAHJJI2UH0,4.8183,,,,,,,2025-11-01,2025-11-03,2025-11-14,,2025-10-19,1326,2522052,CA-65114,N,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040025,DEP-91000025,I&TS,Pushout / Cancellation,PUSH,Closed,Capital Markets,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,Cayman Islands,Euroclear,DA-6060,Submit,Westmark Pharmaceuticals SA,S210795,USMY3EKSVKF9,2.8107,,,,,,38.9375,2026-04-06,2026-04-07,2026-04-10,2026-04-13,2026-03-29,3973,7695701,CA-30795,Y,Y,N,N,,Y,Pub C,Rev 3,In Progress
MEQ-040026,DEP-91000026,Issuer Direct,Full Call,FCAL,Published,Direct Investing,Ironbridge Energy Ltd,S534410,ES28GW5H9,BMES28GW5H92,United Kingdom,Euroclear,DA-7870,Submit,Ironbridge Energy Ltd,S534410,BMES28GW5H92,1.8935,,,,,,3.2584,2026-04-08,2026-04-10,2026-04-15,,2026-03-24,3591,1231713,CA-65430,Y,N,N,N,,Y,Pub C,Rev 2,In Progress
MEQ-040027,DEP-91000027,CDS,Stock Dividend,STDV,Pending,Capital Markets,Doverpoint Media Inc,S354664,MF76KEQNZ,KYMF76KEQNZ9,United Kingdom,DTC,DA-5934,Submit,Doverpoint Media Inc,S354664,KYMF76KEQNZ9,2.6145,Ironbridge Energy SE,S815678,GBTB8CO0UAE2,2.3117,CAD,1.5808,2025-06-28,2025-06-28,2025-07-12,2025-07-15,2025-06-13,2211,5149419,CA-20118,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040028,DEP-91000028,CDS,Cash Merger,CMER,Published,Direct Investing,Verdant Energy Corp,S709794,GQL3ARI8Z,KYGQL3ARI8Z4,United States,CDS,DA-4623,Hold,Verdant Energy Corp,S709794,KYGQL3ARI8Z4,3.7943,,,,,,45.9775,2026-03-30,2026-03-31,2026-04-06,2026-04-07,2026-03-16,2886,6715722,CA-72418,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040029,DEP-91000029,I&TS,Unit Split,USPL,Closed,Wealth Management,Westmark Industries Corp,S639716,YAS8DLQQ7,KYYAS8DLQQ77,United States,DTC,DA-9269,Hold,Westmark Industries Corp,S639716,KYYAS8DLQQ77,3.9534,Umbra Media SA,S024028,KYHK6W23LHW6,1.2072,USD,26.4799,2025-07-28,2025-07-28,2025-08-02,2025-08-05,2025-07-16,3182,6211264,CA-73269,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub C,Rev 3,Completed
MEQ-040030,DEP-91000030,CDS,Consolidation,CONS,Published,Wealth Management,Evergreen Bank AG,S086943,WJ0U8M084,BMWJ0U8M0845,United States,I&TS,DA-8952,Hold,Evergreen Bank AG,S086943,BMWJ0U8M0845,0.7478,,,,,,40.9544,2026-02-11,2026-02-12,2026-02-19,2026-02-19,2026-02-08,558,266166,CA-99731,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040031,DEP-91000031,Issuer Direct,Name Change,NAME,Cancelled,Asset Servicing,Ironbridge Energy Ltd,S534410,ES28GW5H9,BMES28GW5H92,United Kingdom,Euroclear,DA-8671,Submit,Ironbridge Energy Ltd,S534410,BMES28GW5H92,2.4398,,,,,,,2025-06-16,2025-06-16,2025-06-19,,2025-06-09,1162,4560850,CA-72522,N,N,N,N,,Y,Pub C,Rev 2,In Progress
MEQ-040032,DEP-91000032,CDS,Cash and Shares,CASH,Closed,Capital Markets,Aldergrove Pharmaceuticals SE,S586804,GSTXGSLKX,CAGSTXGSLKX5,Cayman Islands,CDS,DA-9367,Submit,Aldergrove Pharmaceuticals SE,S586804,CAGSTXGSLKX5,3.0427,Meadowfield Properties SA,S854237,CAO3QRU2X838,2.2819,GBP,3.3328,2026-01-15,2026-01-17,2026-01-21,2026-01-23,2026-01-11,2212,6018852,CA-46559,Y,Y,Y,N,,Y,Pub A,Rev 2,Completed
MEQ-040033,DEP-91000033,Issuer Direct,Merger,MERG,Pending,Direct Investing,Cedarwood Bio Corp,S276997,BXHGDKLOM,GBBXHGDKLOM3,Bermuda,DTC,DA-5720,Submit,Cedarwood Bio Corp,S276997,GBBXHGDKLOM3,3.0747,Oakhill Aerospace Inc,S735362,CAEAHJJI2UH0,1.3219,EUR,22.0856,2026-04-01,2026-04-03,2026-04-13,2026-04-15,2026-03-21,2465,1138830,CA-98659,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040034,DEP-91000034,I&TS,Pushout / Cancellation,PUSH,Closed,Asset Servicing,Glenmoor Properties Ltd,S432700,O2JRH82AK,GBO2JRH82AK4,Cayman Islands,I&TS,DA-3394,Hold,Glenmoor Properties Ltd,S432700,GBO2JRH82AK4,2.0109,,,,,,39.0778,2025-10-21,2025-10-23,2025-10-29,,2025-10-13,1335,6091605,CA-53917,Y,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040035,DEP-91000035,Broadridge,Cash Merger,CMER,Published,Capital Markets,Oakhill Trust SA,S432221,AYUUHZS0P,CAAYUUHZS0P3,United States,DTC,DA-6316,Submit,Oakhill Trust SA,S432221,CAAYUUHZS0P3,3.7158,,,,,,15.2046,2026-04-10,2026-04-11,2026-04-22,2026-04-25,2026-04-01,2589,5048550,CA-40371,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040036,DEP-91000036,Broadridge,Full Call,FCAL,Published,Direct Investing,Fairhaven Energy AG,S137496,1584IYRSN,CA1584IYRSN6,Cayman Islands,Euroclear,DA-9978,Hold,Fairhaven Energy AG,S137496,CA1584IYRSN6,4.4956,,,,,,25.8361,2026-01-16,2026-01-18,2026-01-21,2026-01-22,2026-01-13,2761,8771697,CA-55443,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040037,DEP-91000037,CDS,No Payment / Deemed Worthless,NPMT,Pending,Direct Investing,Doverpoint Media Inc,S354664,MF76KEQNZ,KYMF76KEQNZ9,United Kingdom,DTC,DA-9018,Submit,Doverpoint Media Inc,S354664,KYMF76KEQNZ9,2.9749,,,,,,,2025-07-19,2025-07-21,2025-08-03,,2025-07-07,1384,4784488,CA-91780,N,N,N,N,,Y,Pub B,Rev 2,In Progress
MEQ-040038,DEP-91000038,Issuer Direct,Cash and Shares,CASH,Published,Wealth Management,Juniper Holdings Ltd,S405208,DA02RJ5DC,GBDA02RJ5DC9,Bermuda,CDS,DA-3186,Hold,Juniper Holdings Ltd,S405208,GBDA02RJ5DC9,2.6278,Nightingale Communications Inc,S887103,BM6M74JOXLA7,1.2321,USD,44.4638,2025-08-09,2025-08-11,2025-08-17,2025-08-17,2025-07-31,1893,2144769,CA-79575,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040039,DEP-91000039,I&TS,Name Change,NAME,Published,Wealth Management,Nightingale Communications NV,S907871,PR3TT2SBJ,KYPR3TT2SBJ1,Cayman Islands,CDS,DA-9714,Submit,Nightingale Communications NV,S907871,KYPR3TT2SBJ1,4.1875,,,,,,,2025-08-17,2025-08-18,2025-08-27,,2025-08-02,2791,664258,CA-23666,N,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040040,DEP-91000040,Broadridge,Unit Split,USPL,Pending,Direct Investing,Yarrow Aerospace Corp,S205100,9F29Z3D8B,GB9F29Z3D8B5,Bermuda,Euroclear,DA-3909,Hold,Yarrow Aerospace Corp,S205100,GB9F29Z3D8B5,4.0533,Doverpoint Aerospace NV,S079844,CAWJHIH191Z8,0.8067,USD,40.3018,2025-06-06,2025-06-06,2025-06-13,2025-06-14,2025-05-29,2276,1456640,CA-96801,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040041,DEP-91000041,Euroclear,Rights Expiration,REXP,Published,Capital Markets,Cedarwood Holdings SE,S512381,NB2WIF3C2,USNB2WIF3C25,United Kingdom,I&TS,DA-8119,Submit,Cedarwood Holdings SE,S512381,USNB2WIF3C25,4.4139,,,,,,,2025-08-16,2025-08-16,2025-08-29,,2025-08-11,764,3110244,CA-58303,N,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040042,DEP-91000042,I&TS,Stock Split,STSP,Published,Direct Investing,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,United Kingdom,CDS,DA-8038,Hold,Brightcap Energy SE,S849963,KYEPUSLD2LR1,1.3458,Doverpoint Logistics AG,S261918,GB2KJYFZQOM3,1.4642,GBP,36.7355,2025-07-21,2025-07-22,2025-07-24,,2025-07-12,386,1129436,CA-55920,Y,N,N,N,,Y,Pub A,Rev 3,In Progress
MEQ-040043,DEP-91000043,I&TS,Rights Expiration,REXP,Published,Capital Markets,Umbra Media SA,S024028,HK6W23LHW,KYHK6W23LHW6,Canada,I&TS,DA-7312,Submit,Umbra Media SA,S024028,KYHK6W23LHW6,1.2494,,,,,,,2025-11-02,2025-11-04,2025-11-07,,2025-10-20,652,974740,CA-96212,N,N,N,N,,Y,Pub A,Rev 1,In Progress
MEQ-040044,DEP-91000044,DTC,Consolidation,CONS,Pending,Direct Investing,Meadowfield Pharmaceuticals Ltd,S260312,K0PMUJVWY,GBK0PMUJVWY3,Canada,CDS,DA-4796,Hold,Meadowfield Pharmaceuticals Ltd,S260312,GBK0PMUJVWY3,4.0162,,,,,,3.3927,2026-04-13,2026-04-14,2026-04-21,2026-04-24,2026-04-01,1228,5614416,CA-45042,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040045,DEP-91000045,I&TS,Pushout / Cancellation,PUSH,Closed,Asset Servicing,Juniper Bank plc,S646471,15YKTKQS7,US15YKTKQS73,United Kingdom,DTC,DA-5257,Submit,Juniper Bank plc,S646471,US15YKTKQS73,1.8148,,,,,,12.6709,2026-04-24,2026-04-25,2026-04-29,,2026-04-11,1182,400698,CA-15078,Y,N,N,N,,Y,Pub B,Rev 2,In Progress
MEQ-040046,DEP-91000046,CDS,Exchange,EXCH,Published,Wealth Management,Quartz Peak Media NV,S503775,IPUFV2XFR,CAIPUFV2XFR3,Bermuda,DTC,DA-3054,Hold,Quartz Peak Media NV,S503775,CAIPUFV2XFR3,2.9372,Doverpoint Media Inc,S354664,KYMF76KEQNZ9,0.2562,CAD,24.4586,2025-12-28,2025-12-29,2026-01-01,2026-01-01,2025-12-20,1612,6746220,CA-92386,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040047,DEP-91000047,Euroclear,Pushout / Cancellation,PUSH,Published,Capital Markets,Westmark Pharmaceuticals SA,S210795,MY3EKSVKF,USMY3EKSVKF9,Cayman Islands,Euroclear,DA-2732,Hold,Westmark Pharmaceuticals SA,S210795,USMY3EKSVKF9,0.5631,,,,,,5.3054,2026-02-23,2026-02-24,2026-03-07,2026-03-08,2026-02-10,1277,1803124,CA-58396,Y,Y,Y,N,,Y,Pub B,Rev 3,Completed
MEQ-040048,DEP-91000048,DTC,Pushout / Cancellation,PUSH,Closed,Wealth Management,Pinewright Resources Ltd,S864645,MQ2KI9ZJP,CAMQ2KI9ZJP5,United States,Euroclear,DA-9566,Submit,Pinewright Resources Ltd,S864645,CAMQ2KI9ZJP5,0.7499,,,,,,39.2142,2026-04-27,2026-04-27,2026-05-12,2026-05-14,2026-04-19,1651,4262882,CA-94274,Y,Y,Y,N,,Y,Pub B,Rev 1,Completed
MEQ-040049,DEP-91000049,Euroclear,Consolidation,CONS,Closed,Asset Servicing,Pinewright Aerospace Ltd,S923489,ZNIAUSW0X,GBZNIAUSW0X2,United Kingdom,I&TS,DA-4827,Hold,Pinewright Aerospace Ltd,S923489,GBZNIAUSW0X2,4.3031,,,,,,1.5183,2025-08-21,2025-08-21,2025-08-31,2025-09-03,2025-08-12,1059,350529,CA-24022,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040050,DEP-91000050,Euroclear,Cash Merger,CMER,Published,Wealth Management,Westmark Technology plc,S959780,REPZHFPJP,USREPZHFPJP8,Bermuda,Euroclear,DA-8522,Hold,Westmark Technology plc,S959780,USREPZHFPJP8,4.7837,,,,,,17.6394,2026-01-13,2026-01-13,2026-01-23,2026-01-24,2026-01-02,2758,5060930,CA-97698,Y,Y,Y,Y,Reconciled with depository confirmation; variance within tolerance.,Y,Pub A,Rev 3,Completed
MEQ-040051,DEP-91000051,Broadridge,Unit Split,USPL,Published,Wealth Management,Westmark Industries Corp,S639716,YAS8DLQQ7,KYYAS8DLQQ77,United States,DTC,DA-4808,Submit,Westmark Industries Corp,S639716,KYYAS8DLQQ77,0.806,Oakhill Aerospace Inc,S735362,CAEAHJJI2UH0,2.7349,EUR,45.2239,2025-10-14,2025-10-14,2025-10-24,2025-10-25,2025-10-06,514,2400380,CA-80081,Y,Y,Y,N,,Y,Pub C,Rev 1,Completed
MEQ-040052,DEP-91000052,Euroclear,Pushout / Cancellation,PUSH,Pending,Asset Servicing,Doverpoint Media Inc,S354664,MF76KEQNZ,KYMF76KEQNZ9,United Kingdom,DTC,DA-2752,Submit,Doverpoint Media Inc,S354664,KYMF76KEQNZ9,4.6821,,,,,,21.6964,2025-10-30,2025-10-31,2025-11-03,2025-11-05,2025-10-15,3145,1946755,CA-21893,Y,Y,Y,N,,Y,Pub A,Rev 1,Completed
MEQ-040053,DEP-91000053,I&TS,Unit Split,USPL,Cancelled,Wealth Management,Oakhill Trust SA,S432221,AYUUHZS0P,CAAYUUHZS0P3,United States,DTC,DA-6466,Hold,Oakhill Trust SA,S432221,CAAYUUHZS0P3,2.1766,Verdant Technology NV,S036040,BMFYXP5NGG33,1.3796,EUR,28.3717,2025-06-14,2025-06-16,2025-06-29,2025-06-30,2025-06-04,1717,8499150,CA-80992,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040054,DEP-91000054,Issuer Direct,Stock Dividend,STDV,Published,Asset Servicing,Pinewright Mining NV,S559928,ZN4HP21M8,USZN4HP21M83,United States,I&TS,DA-1741,Submit,Pinewright Mining NV,S559928,USZN4HP21M83,3.7446,Meadowfield Communications SE,S058327,USBY8RE4H3U8,1.138,USD,7.3286,2025-06-11,2025-06-13,2025-06-24,,2025-06-05,3980,16771720,CA-53891,Y,N,N,N,,Y,Pub C,Rev 1,In Progress
MEQ-040055,DEP-91000055,CDS,Cash Merger,CMER,Published,Capital Markets,Nightingale Bio Corp,S064073,IH4FCZHOJ,BMIH4FCZHOJ4,Bermuda,I&TS,DA-3174,Submit,Nightingale Bio Corp,S064073,BMIH4FCZHOJ4,1.4841,,,,,,0.1567,2026-02-05,2026-02-07,2026-02-16,2026-02-16,2026-01-22,2490,988530,CA-59555,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
MEQ-040056,DEP-91000056,Broadridge,Pushout / Cancellation,PUSH,Published,Wealth Management,Pinewright Industries plc,S073457,P7AMV17FX,KYP7AMV17FX7,Bermuda,I&TS,DA-5835,Submit,Pinewright Industries plc,S073457,KYP7AMV17FX7,1.5378,,,,,,18.9993,2025-08-03,2025-08-04,2025-08-16,2025-08-17,2025-07-24,2823,3926793,CA-66323,Y,Y,Y,N,,Y,Pub C,Rev 3,Completed
MEQ-040057,DEP-91000057,Issuer Direct,Partial Call,PCAL,Pending,Capital Markets,Westmark Capital AG,S327353,6LXRQUAZG,CA6LXRQUAZG3,Cayman Islands,I&TS,DA-1209,Submit,Westmark Capital AG,S327353,CA6LXRQUAZG3,0.8879,,,,,,35.3438,2026-02-06,2026-02-06,2026-02-19,2026-02-20,2026-01-26,1405,6779125,CA-51834,Y,Y,Y,N,,Y,Pub B,Rev 2,Completed
