Critical Date Report ID,Report Date,Depository,Account Number,Event ID,CA ID,Event Reference,Security Name,Security Code,CUSIP,ISIN,Event Type,Sub Event Type,Expiry Date,Response Deadline,Check Expiry Date,In Voluntary Events Schedule Flag,VES Match Method,Duplicate Removed Flag,Odd Lot Offer Flag,Mandatory Event Flag,Remarks,Research Outcome,Added To VES Flag,Forwarded To Officer Flag,Final Disposition
CDR-0050011,2025-06-15,DTC,ACCT-302062,VES-030147,BNK-0600147,DEP-09000147,Cedarwood Logistics Ltd,S427498,4K56TL7AF,CA4K56TL7AF0,Monthly Redemption Privilege,,2025-06-26,2025-06-24,2025-06-26,Y,CUSIP,N,N,N,,Resolved,N,Y,Monitored
CDR-0050012,2025-06-15,Euroclear,,VES-030012,BNK-0600012,DEP-09000012,Doverpoint Logistics AG,S261918,2KJYFZQOM,GB2KJYFZQOM3,Mini-Tender,,2025-06-15,2025-06-13,2025-06-15,Y,ISIN,N,N,N,Duplicate from prior report; removed.,,N,Y,Closed
CDR-0050013,2025-06-15,I&TS,,VES-030010,BNK-0600010,DEP-09000010,Evergreen Resources Corp,S740340,JSRFS7ZJF,CAJSRFS7ZJF3,Annual Redemption Privilege,,2025-06-17,2025-06-15,2025-06-17,Y,Depo Event ID,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Confirmed,N,Y,Awaiting Documentation
CDR-0050014,2025-06-15,Euroclear,,VES-030141,BNK-0600141,DEP-09000141,Juniper Resources AG,S873587,H9GTF85MN,GBH9GTF85MN0,Monthly Redemption Privilege,,2025-06-29,2025-06-27,2025-06-29,Y,ISIN,N,N,N,Already in VES; monitoring only.,Under Review,N,Y,Awaiting Election
CDR-0050015,2025-06-22,Euroclear,,VES-030141,BNK-0600141,DEP-09000141,Juniper Resources AG,S873587,H9GTF85MN,GBH9GTF85MN0,Monthly Redemption Privilege,,2025-06-29,2025-06-27,2025-06-29,Y,ISIN,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,N,Y,Awaiting Documentation
CDR-0050016,2025-06-22,CDS,,VES-030060,BNK-0600060,DEP-09000060,Fairhaven Logistics AG,S951288,EKLS5ZYG2,CAEKLS5ZYG24,Consent Solicitation,,2025-06-22,2025-06-20,2025-06-22,Y,CUSIP,N,N,N,Already in VES; monitoring only.,Resolved,N,Y,Monitored
CDR-0050017,2025-06-22,DTC,ACCT-587359,VES-030147,BNK-0600147,DEP-09000147,Cedarwood Logistics Ltd,S427498,4K56TL7AF,CA4K56TL7AF0,Monthly Redemption Privilege,,2025-06-26,2025-06-24,2025-06-26,Y,Depo Event ID,N,N,N,Newly identified; added to VES.,Under Review,N,Y,Awaiting Election
CDR-0050018,2025-06-29,Euroclear,,VES-030123,BNK-0600123,DEP-09000123,Ironbridge Resources NV,S472726,I8OKQ4R2E,USI8OKQ4R2E2,Warrant Exercise,,2025-07-16,2025-07-14,2025-07-16,Y,CUSIP,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Awaiting Election
CDR-0050019,2025-06-29,CDS,,VES-030002,BNK-0600002,DEP-09000002,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,Annual Redemption Privilege,,2025-07-15,2025-07-13,2025-07-15,Y,CUSIP,N,N,N,,,N,Y,Closed
CDR-0050020,2025-06-29,DTC,ACCT-517282,VES-030093,BNK-0600093,DEP-09000093,Quartz Peak Media NV,S503775,IPUFV2XFR,CAIPUFV2XFR3,Monthly Redemption Privilege,,2025-07-18,2025-07-16,2025-07-18,Y,ISIN,Y,N,N,Already in VES; monitoring only.,Confirmed,N,N,Awaiting Election
CDR-0050021,2025-07-06,CDS,,VES-030002,BNK-0600002,DEP-09000002,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,Annual Redemption Privilege,,2025-07-15,2025-07-13,2025-07-15,Y,CUSIP,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Under Review,N,Y,Closed
CDR-0050022,2025-07-06,Euroclear,,VES-030123,BNK-0600123,DEP-09000123,Ironbridge Resources NV,S472726,I8OKQ4R2E,USI8OKQ4R2E2,Warrant Exercise,,2025-07-16,2025-07-14,2025-07-16,N,,N,N,N,Already in VES; monitoring only.,,Y,Y,Closed
CDR-0050023,2025-07-06,DTC,ACCT-870213,VES-030093,BNK-0600093,DEP-09000093,Quartz Peak Media NV,S503775,IPUFV2XFR,CAIPUFV2XFR3,Monthly Redemption Privilege,,2025-07-18,2025-07-16,2025-07-18,Y,Depo Event ID,N,N,N,Within 15BD window; routed to Processing Officer.,Confirmed,N,Y,Awaiting Election
CDR-0050024,2025-07-06,DTC,ACCT-772217,VES-030045,BNK-0600045,DEP-09000045,Oakhill Logistics Corp,S600207,MM1XVFLZZ,KYMM1XVFLZZ2,Mini-Tender,,2025-07-22,2025-07-20,2025-07-22,Y,ISIN,Y,N,N,Already in VES; monitoring only.,Confirmed,N,N,Monitored
CDR-0050025,2025-07-13,CDS,,VES-030057,BNK-0600057,DEP-09000057,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,Consent Solicitation,,2025-07-31,2025-07-29,2025-07-31,Y,CUSIP,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Monitored
CDR-0050026,2025-07-13,DTC,ACCT-428034,VES-030045,BNK-0600045,DEP-09000045,Oakhill Logistics Corp,S600207,MM1XVFLZZ,KYMM1XVFLZZ2,Mini-Tender,,2025-07-22,2025-07-20,2025-07-22,Y,Manual,N,N,N,Within 15BD window; routed to Processing Officer.,,N,Y,Awaiting Election
CDR-0050027,2025-07-13,I&TS,,VES-030040,BNK-0600040,DEP-09000040,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,Monthly Redemption Privilege,,2025-08-02,2025-07-31,2025-08-02,Y,ISIN,N,N,N,Duplicate from prior report; removed.,Resolved,N,Y,Awaiting Election
CDR-0050028,2025-07-13,DTC,ACCT-486362,VES-030093,BNK-0600093,DEP-09000093,Quartz Peak Media NV,S503775,IPUFV2XFR,CAIPUFV2XFR3,Monthly Redemption Privilege,,2025-07-18,2025-07-16,2025-07-18,Y,Manual,N,N,N,Within 15BD window; routed to Processing Officer.,Under Review,N,Y,Awaiting Documentation
CDR-0050029,2025-07-13,Euroclear,,VES-030075,BNK-0600075,DEP-09000075,Evergreen Energy NV,S828255,WVM09UVFJ,USWVM09UVFJ8,Rights Offering,,2025-08-02,2025-07-31,2025-08-02,Y,CUSIP,N,N,N,Newly identified; added to VES.,,N,Y,Monitored
CDR-0050030,2025-07-13,CDS,,VES-030002,BNK-0600002,DEP-09000002,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,Annual Redemption Privilege,,2025-07-15,2025-07-13,2025-07-15,Y,Depo Event ID,N,N,N,Newly identified; added to VES.,Confirmed,N,Y,Awaiting Documentation
CDR-0050031,2025-07-13,CDS,,VES-030074,BNK-0600074,DEP-09000074,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Mini-Tender,,2025-07-30,2025-07-28,2025-07-30,Y,Depo Event ID,N,N,N,Newly identified; added to VES.,Confirmed,N,Y,Awaiting Documentation
CDR-0050032,2025-07-13,Euroclear,,VES-030103,BNK-0600103,DEP-09000103,Umbra Energy AG,S843399,BR0KI3125,KYBR0KI31252,Warrant Exercise,,2025-08-01,2025-07-30,2025-08-01,Y,Manual,N,N,N,Within 15BD window; routed to Processing Officer.,Under Review,N,Y,Awaiting Election
CDR-0050033,2025-07-13,Euroclear,,VES-030123,BNK-0600123,DEP-09000123,Ironbridge Resources NV,S472726,I8OKQ4R2E,USI8OKQ4R2E2,Warrant Exercise,,2025-07-16,2025-07-14,2025-07-16,N,,N,N,N,Already in VES; monitoring only.,Confirmed,Y,Y,Closed
CDR-0050034,2025-07-13,Euroclear,,VES-030127,BNK-0600127,DEP-09000127,Cedarwood Resources SE,S016798,NIM4FYJ1L,BMNIM4FYJ1L8,Odd Lot Offer,,2025-08-01,2025-07-30,2025-08-01,Y,CUSIP,N,Y,N,Within 15BD window; routed to Processing Officer.,,N,Y,Monitored
CDR-0050035,2025-07-20,CDS,,VES-030057,BNK-0600057,DEP-09000057,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,Consent Solicitation,,2025-07-31,2025-07-29,2025-07-31,Y,ISIN,N,N,N,,Under Review,N,Y,Awaiting Election
CDR-0050036,2025-07-20,Euroclear,,VES-030127,BNK-0600127,DEP-09000127,Cedarwood Resources SE,S016798,NIM4FYJ1L,BMNIM4FYJ1L8,Odd Lot Offer,,2025-08-01,2025-07-30,2025-08-01,N,,N,Y,N,Already in VES; monitoring only.,,Y,Y,Awaiting Election
CDR-0050037,2025-07-20,Euroclear,,VES-030048,BNK-0600048,DEP-09000048,Yarrow Aerospace SA,S364869,243Q63M0K,GB243Q63M0K8,Consent Exchange Offer,,2025-08-07,2025-08-05,2025-08-07,Y,Depo Event ID,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,N,Y,Closed
CDR-0050038,2025-07-20,I&TS,,VES-030040,BNK-0600040,DEP-09000040,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,Monthly Redemption Privilege,,2025-08-02,2025-07-31,2025-08-02,N,,N,N,N,,Under Review,Y,Y,Monitored
CDR-0050039,2025-07-20,Euroclear,,VES-030136,BNK-0600136,DEP-09000136,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,Cease Trade Notice,,2025-08-10,2025-08-08,2025-08-10,Y,ISIN,N,N,N,,Confirmed,N,Y,Awaiting Election
CDR-0050040,2025-07-20,DTC,ACCT-446159,VES-030045,BNK-0600045,DEP-09000045,Oakhill Logistics Corp,S600207,MM1XVFLZZ,KYMM1XVFLZZ2,Mini-Tender,,2025-07-22,2025-07-20,2025-07-22,N,,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,Y,Y,Closed
CDR-0050041,2025-07-20,Euroclear,,VES-030085,BNK-0600085,DEP-09000085,Pinewright Resources Ltd,S864645,MQ2KI9ZJP,CAMQ2KI9ZJP5,Late Tender Offer,,2025-08-07,2025-08-05,2025-08-07,Y,Manual,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Closed
CDR-0050042,2025-07-20,CDS,,VES-030074,BNK-0600074,DEP-09000074,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Mini-Tender,,2025-07-30,2025-07-28,2025-07-30,Y,Depo Event ID,N,N,N,Duplicate from prior report; removed.,Confirmed,N,Y,Monitored
CDR-0050043,2025-07-20,Euroclear,,VES-030103,BNK-0600103,DEP-09000103,Umbra Energy AG,S843399,BR0KI3125,KYBR0KI31252,Warrant Exercise,,2025-08-01,2025-07-30,2025-08-01,Y,Manual,N,N,N,,Resolved,N,Y,Awaiting Documentation
CDR-0050044,2025-07-20,Euroclear,,VES-030075,BNK-0600075,DEP-09000075,Evergreen Energy NV,S828255,WVM09UVFJ,USWVM09UVFJ8,Rights Offering,,2025-08-02,2025-07-31,2025-08-02,N,,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Confirmed,Y,Y,Awaiting Election
CDR-0050045,2025-07-27,I&TS,,VES-030040,BNK-0600040,DEP-09000040,Ironbridge Mining plc,S725323,CFH0LWDKB,CACFH0LWDKB2,Monthly Redemption Privilege,,2025-08-02,2025-07-31,2025-08-02,Y,Depo Event ID,N,N,N,,,N,Y,Monitored
CDR-0050046,2025-07-27,Euroclear,,VES-030048,BNK-0600048,DEP-09000048,Yarrow Aerospace SA,S364869,243Q63M0K,GB243Q63M0K8,Consent Exchange Offer,,2025-08-07,2025-08-05,2025-08-07,Y,CUSIP,N,N,N,,Confirmed,N,Y,Closed
CDR-0050047,2025-07-27,Euroclear,,VES-030136,BNK-0600136,DEP-09000136,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,Cease Trade Notice,,2025-08-10,2025-08-08,2025-08-10,Y,Manual,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Confirmed,N,Y,Closed
CDR-0050048,2025-07-27,Euroclear,,VES-030103,BNK-0600103,DEP-09000103,Umbra Energy AG,S843399,BR0KI3125,KYBR0KI31252,Warrant Exercise,,2025-08-01,2025-07-30,2025-08-01,Y,Depo Event ID,N,N,N,Already in VES; monitoring only.,Resolved,N,Y,Awaiting Election
CDR-0050049,2025-07-27,I&TS,,VES-030020,BNK-0600020,DEP-09000020,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,Odd Lot Offer,,2025-08-13,2025-08-11,2025-08-13,Y,Depo Event ID,N,Y,N,Duplicate from prior report; removed.,Confirmed,N,Y,Awaiting Documentation
CDR-0050050,2025-07-27,CDS,,VES-030074,BNK-0600074,DEP-09000074,Meadowfield Bio Ltd,S882089,BNWJM9ZT4,USBNWJM9ZT49,Mini-Tender,,2025-07-30,2025-07-28,2025-07-30,Y,CUSIP,N,N,N,Within 15BD window; routed to Processing Officer.,Confirmed,N,Y,Closed
CDR-0050051,2025-07-27,CDS,,VES-030057,BNK-0600057,DEP-09000057,Brightcap Energy SE,S849963,EPUSLD2LR,KYEPUSLD2LR1,Consent Solicitation,,2025-07-31,2025-07-29,2025-07-31,Y,Manual,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,N,Y,Monitored
CDR-0050052,2025-08-03,Euroclear,,VES-030085,BNK-0600085,DEP-09000085,Pinewright Resources Ltd,S864645,MQ2KI9ZJP,CAMQ2KI9ZJP5,Late Tender Offer,,2025-08-07,2025-08-05,2025-08-07,N,,N,N,N,Within 15BD window; routed to Processing Officer.,Under Review,Y,Y,Monitored
CDR-0050053,2025-08-03,Euroclear,,VES-030136,BNK-0600136,DEP-09000136,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,Cease Trade Notice,,2025-08-10,2025-08-08,2025-08-10,N,,N,N,N,Duplicate from prior report; removed.,Under Review,Y,Y,Awaiting Documentation
CDR-0050054,2025-08-03,I&TS,,VES-030079,BNK-0600079,DEP-09000079,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,Consent Exchange Offer,,2025-08-21,2025-08-19,2025-08-21,Y,Depo Event ID,N,N,N,Duplicate from prior report; removed.,Under Review,N,Y,Closed
CDR-0050055,2025-08-10,I&TS,,VES-030016,BNK-0600016,DEP-09000016,Brightcap Bank SA,S699326,O6QB2IAG0,CAO6QB2IAG06,Rights Offering,,2025-08-27,2025-08-25,2025-08-27,Y,Depo Event ID,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,N,Y,Closed
CDR-0050056,2025-08-10,CDS,,VES-030005,BNK-0600005,DEP-09000005,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,Consent Exchange Offer,,2025-08-27,2025-08-25,2025-08-27,Y,Manual,N,N,N,Newly identified; added to VES.,Under Review,N,Y,Closed
CDR-0050057,2025-08-10,I&TS,,VES-030020,BNK-0600020,DEP-09000020,Aldergrove Bank Inc,S821591,W9DJSSI40,CAW9DJSSI403,Odd Lot Offer,,2025-08-13,2025-08-11,2025-08-13,Y,Manual,N,Y,N,Multi-depository; using bulk-of-holdings expiry.,Confirmed,N,Y,Closed
CDR-0050058,2025-08-10,Euroclear,,VES-030122,BNK-0600122,DEP-09000122,Juniper Mining plc,S007795,IOQSTII9A,CAIOQSTII9A6,Exchange Offer,,2025-08-27,2025-08-25,2025-08-27,Y,CUSIP,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,N,Y,Monitored
CDR-0050059,2025-08-10,CDS,,VES-030129,BNK-0600129,DEP-09000129,Zephyr Energy plc,S442368,88CJZY7SJ,US88CJZY7SJ5,Exchange Offer,,2025-08-20,2025-08-18,2025-08-20,Y,ISIN,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Closed
CDR-0050060,2025-08-10,Euroclear,,VES-030112,BNK-0600112,DEP-09000112,Oakhill Media SE,S952865,2J5ZV2ZU7,US2J5ZV2ZU77,Exchange Offer,,2025-08-24,2025-08-22,2025-08-24,N,,N,N,N,,Under Review,Y,Y,Closed
CDR-0050061,2025-08-10,I&TS,,VES-030079,BNK-0600079,DEP-09000079,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,Consent Exchange Offer,,2025-08-21,2025-08-19,2025-08-21,N,,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,Y,Y,Monitored
CDR-0050062,2025-08-10,Euroclear,,VES-030136,BNK-0600136,DEP-09000136,Doverpoint Logistics SE,S477620,65E1CH6RA,GB65E1CH6RA3,Cease Trade Notice,,2025-08-10,2025-08-08,2025-08-10,Y,CUSIP,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,N,Y,Closed
CDR-0050063,2025-08-10,CDS,,VES-030091,BNK-0600091,DEP-09000091,Umbra Trust SA,S174849,CR079L3BG,USCR079L3BG2,Early Tender Offer,,2025-08-14,2025-08-12,2025-08-14,N,,N,N,N,Duplicate from prior report; removed.,Under Review,Y,Y,Awaiting Documentation
CDR-0050064,2025-08-17,CDS,,VES-030005,BNK-0600005,DEP-09000005,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,Consent Exchange Offer,,2025-08-27,2025-08-25,2025-08-27,Y,Manual,N,N,N,,Confirmed,N,Y,Monitored
CDR-0050065,2025-08-17,I&TS,,VES-030079,BNK-0600079,DEP-09000079,Ironbridge Trust NV,S385221,BMK2E1CAW,BMBMK2E1CAW1,Consent Exchange Offer,,2025-08-21,2025-08-19,2025-08-21,Y,Manual,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Monitored
CDR-0050066,2025-08-17,I&TS,,VES-030016,BNK-0600016,DEP-09000016,Brightcap Bank SA,S699326,O6QB2IAG0,CAO6QB2IAG06,Rights Offering,,2025-08-27,2025-08-25,2025-08-27,Y,ISIN,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,N,Y,Closed
CDR-0050067,2025-08-17,Euroclear,,VES-030044,BNK-0600044,DEP-09000044,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,Dutch Auction,,2025-09-03,2025-09-01,2025-09-03,Y,CUSIP,N,N,N,,Resolved,N,Y,Awaiting Election
CDR-0050068,2025-08-17,Euroclear,,VES-030122,BNK-0600122,DEP-09000122,Juniper Mining plc,S007795,IOQSTII9A,CAIOQSTII9A6,Exchange Offer,,2025-08-27,2025-08-25,2025-08-27,Y,Manual,N,N,N,Newly identified; added to VES.,,N,Y,Awaiting Documentation
CDR-0050069,2025-08-17,I&TS,,VES-030013,BNK-0600013,DEP-09000013,Oakhill Capital Ltd,S175562,FMID9M4HJ,BMFMID9M4HJ7,Monthly Redemption Privilege,,2025-09-02,2025-08-31,2025-09-02,Y,Manual,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,N,Y,Awaiting Election
CDR-0050070,2025-08-17,Euroclear,,VES-030112,BNK-0600112,DEP-09000112,Oakhill Media SE,S952865,2J5ZV2ZU7,US2J5ZV2ZU77,Exchange Offer,,2025-08-24,2025-08-22,2025-08-24,Y,Depo Event ID,N,N,N,Within 15BD window; routed to Processing Officer.,Confirmed,N,Y,Monitored
CDR-0050071,2025-08-24,CDS,,VES-030005,BNK-0600005,DEP-09000005,Kestrel Resources plc,S643872,SIDDRYO1O,GBSIDDRYO1O5,Consent Exchange Offer,,2025-08-27,2025-08-25,2025-08-27,Y,CUSIP,N,N,N,Duplicate from prior report; removed.,Confirmed,N,Y,Closed
CDR-0050072,2025-08-24,Euroclear,,VES-030044,BNK-0600044,DEP-09000044,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,Dutch Auction,,2025-09-03,2025-09-01,2025-09-03,Y,ISIN,N,N,N,Already in VES; monitoring only.,Confirmed,N,Y,Awaiting Documentation
CDR-0050073,2025-08-24,I&TS,,VES-030016,BNK-0600016,DEP-09000016,Brightcap Bank SA,S699326,O6QB2IAG0,CAO6QB2IAG06,Rights Offering,,2025-08-27,2025-08-25,2025-08-27,Y,Depo Event ID,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Confirmed,N,Y,Awaiting Documentation
CDR-0050074,2025-08-24,I&TS,,VES-030058,BNK-0600058,DEP-09000058,Brightcap Bio Inc,S811067,M9AN33RDP,KYM9AN33RDP6,Dutch Auction,,2025-09-10,2025-09-08,2025-09-10,Y,Depo Event ID,N,N,N,Already in VES; monitoring only.,Under Review,N,Y,Closed
CDR-0050075,2025-08-31,CDS,,VES-030111,BNK-0600111,DEP-09000111,Umbra Technology SE,S970784,MD17LCOGJ,BMMD17LCOGJ6,Consent Solicitation,,2025-09-12,2025-09-10,2025-09-12,Y,Manual,N,N,N,Duplicate from prior report; removed.,Confirmed,N,Y,Closed
CDR-0050076,2025-08-31,I&TS,,VES-030058,BNK-0600058,DEP-09000058,Brightcap Bio Inc,S811067,M9AN33RDP,KYM9AN33RDP6,Dutch Auction,,2025-09-10,2025-09-08,2025-09-10,Y,Manual,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,N,Y,Awaiting Documentation
CDR-0050077,2025-08-31,Euroclear,,VES-030022,BNK-0600022,DEP-09000022,Glenmoor Capital AG,S302522,PBSRFJ2Q6,GBPBSRFJ2Q67,Consent Exchange Offer,,2025-09-17,2025-09-15,2025-09-17,Y,ISIN,N,N,N,Newly identified; added to VES.,Confirmed,N,Y,Closed
CDR-0050078,2025-08-31,I&TS,,VES-030013,BNK-0600013,DEP-09000013,Oakhill Capital Ltd,S175562,FMID9M4HJ,BMFMID9M4HJ7,Monthly Redemption Privilege,,2025-09-02,2025-08-31,2025-09-02,Y,ISIN,N,N,N,Already in VES; monitoring only.,,N,Y,Monitored
CDR-0050079,2025-08-31,DTC,ACCT-832744,VES-030025,BNK-0600025,DEP-09000025,Meadowfield Media Inc,S640378,74DN24QPH,CA74DN24QPH4,Odd Lot Offer,,2025-09-20,2025-09-18,2025-09-20,Y,ISIN,Y,Y,N,Multi-depository; using bulk-of-holdings expiry.,,N,N,Awaiting Election
CDR-0050080,2025-08-31,Euroclear,,VES-030044,BNK-0600044,DEP-09000044,Kestrel Holdings NV,S997319,XVSDIEX0Q,USXVSDIEX0Q9,Dutch Auction,,2025-09-03,2025-09-01,2025-09-03,Y,Depo Event ID,N,N,N,Within 15BD window; routed to Processing Officer.,Confirmed,N,Y,Awaiting Election
CDR-0050081,2025-08-31,I&TS,,VES-030042,BNK-0600042,DEP-09000042,Cedarwood Resources Ltd,S649062,WYKE9O860,BMWYKE9O8602,Exchange Offer,,2025-09-02,2025-08-31,2025-09-02,N,,N,N,N,Multi-depository; using bulk-of-holdings expiry.,,Y,Y,Awaiting Election
CDR-0050082,2025-08-31,CDS,,VES-030083,BNK-0600083,DEP-09000083,Umbra Bio AG,S322454,5MRBMVCOT,KY5MRBMVCOT4,Convertible Debenture Conversion,,2025-09-16,2025-09-14,2025-09-16,Y,CUSIP,N,N,N,Duplicate from prior report; removed.,Confirmed,N,Y,Awaiting Documentation
CDR-0050083,2025-09-07,I&TS,,VES-030058,BNK-0600058,DEP-09000058,Brightcap Bio Inc,S811067,M9AN33RDP,KYM9AN33RDP6,Dutch Auction,,2025-09-10,2025-09-08,2025-09-10,N,,N,N,N,Multi-depository; using bulk-of-holdings expiry.,Resolved,Y,Y,Closed
CDR-0050084,2025-09-07,DTC,ACCT-132421,VES-030043,BNK-0600043,DEP-09000043,Fairhaven Energy AG,S137496,1584IYRSN,CA1584IYRSN6,Rights Offering,,2025-09-26,2025-09-24,2025-09-26,Y,ISIN,N,N,N,Newly identified; added to VES.,Under Review,N,Y,Closed
CDR-0050085,2025-09-07,DTC,ACCT-753931,VES-030046,BNK-0600046,DEP-09000046,Glenmoor Holdings plc,S401117,HMWNR09HK,CAHMWNR09HK6,Consent Exchange Offer,,2025-09-27,2025-09-25,2025-09-27,Y,CUSIP,N,N,N,Already in VES; monitoring only.,Resolved,N,Y,Awaiting Election
